Category:,Congress,Bill Type,Bill Number,Vote Position
passage-suspension,111,hres,47,Yea
passage-suspension,111,hr,479,Yea
passage,111,hr,1105,Yea
passage-suspension,111,hr,911,Yea
passage-suspension,111,hr,1679,Yea
passage,111,hres,645,Yea
passage-suspension,111,hr,3137,Yea
passage,111,hr,146,Yea
passage-suspension,111,hres,56,Yea
passage-suspension,111,s,1599,Yea
passage,111,hres,53,Yea
passage-suspension,111,hr,2729,Yea
passage-suspension,111,hconres,151,Not Voting
passage,111,hr,1256,Yea
passage-suspension,111,hres,34,Yea
passage-suspension,111,hres,845,Yea
passage-suspension,111,hres,507,Yea
passage-suspension,111,hres,701,Yea
passage-suspension,111,hres,811,Yea
passage-suspension,111,hconres,199,Yea
passage-suspension,111,s,1793,Yea
passage-suspension,111,hjres,26,Yea
passage-suspension,111,hres,260,Yea
passage-suspension,111,hr,402,Yea
passage-suspension,111,s,383,Yea
passage,111,hres,190,Yea
passage,111,hres,962,Yea
passage-suspension,111,hr,957,Yea
passage-suspension,111,hres,779,Yea
passage,111,hres,746,Yea
passage-suspension,111,hr,44,Yea
passage,111,hres,766,Yea
passage-suspension,111,hr,20,Yea
passage-suspension,111,hr,601,Yea
passage-suspension,111,hconres,206,Yea
passage-suspension,111,hr,1817,Yea
passage-suspension,111,hres,543,Yea
passage-suspension,111,hres,650,Yea
passage-suspension,111,hres,558,Yea
passage-suspension,111,hr,1622,Yea
passage-suspension,111,hres,40,Yea
passage-suspension,111,hres,940,Yea
passage,111,hjres,3,Yea
passage-suspension,111,hres,837,Yea
passage,111,hr,2997,Yea
passage,111,hres,644,Yea
passage-suspension,111,hr,3590,Yea
passage-suspension,111,hres,41,Yea
passage,111,hr,2781,Yea
passage-suspension,111,hres,692,Not Voting
passage-suspension,111,hres,529,Yea
passage-suspension,111,hconres,164,Yea
passage,111,hres,427,Yea
passage,111,hres,559,Yea
passage-suspension,111,hr,3119,Yea
passage-suspension,111,hr,1211,Yea
passage-suspension,111,hres,534,Yea
passage-suspension,111,hr,1089,Yea
passage-suspension,111,s,407,Yea
passage,111,hres,673,Yea
passage,111,hres,379,Yea
passage,111,hr,2996,Yea
passage-suspension,111,hr,35,Yea
passage-suspension,111,hres,593,Yea
passage,111,hres,876,Yea
passage-suspension,111,hr,3435,Yea
passage,111,hres,365,Yea
passage,111,hconres,172,Yea
passage-suspension,111,hr,2972,Yea
passage-suspension,111,s,896,Yea
passage,111,hres,464,Yea
passage,111,hconres,133,Yea
passage-suspension,111,hconres,84,Yea
