Category:,Congress,Bill Type,Bill Number,Vote Position
passage,114,s,1.0,Nay
passage,114,hr,3504.0,Nay
passage-suspension,114,hconres,25.0,Yea
passage,114,hres,315.0,Nay
passage,114,hres,347.0,Nay
passage,114,hres,305.0,Nay
passage,114,hres,42.0,Nay
passage,114,hres,462.0,Nay
passage,114,hr,2029.0,Yea
passage-suspension,114,hr,1020.0,Yea
passage-suspension,114,hr,203.0,Yea
passage-suspension,114,hr,294.0,Yea
passage-suspension,114,hr,23.0,Yea
passage-suspension,114,hres,348.0,Yea
passage-suspension,114,hres,162.0,Not Voting
passage,114,hr,685.0,Yea
passage,114,hr,2029.0,Yea
passage,114,hr,2685.0,Nay
passage-suspension,114,hr,322.0,Yea
passage,114,hres,461.0,Nay
passage,114,hr,644.0,Yea
passage-suspension,114,hr,360.0,Not Voting
passage-suspension,114,hr,33.0,Yea
passage,114,hres,129.0,Not Voting
passage,114,hr,2393.0,Nay
passage,114,hr,1937.0,Nay
passage,114,hr,3.0,Nay
passage-suspension,114,hr,1313.0,Not Voting
passage,114,hr,3236.0,Yea
passage-suspension,114,hr,675.0,Yea
passage,114,hr,2048.0,Not Voting
passage,114,hr,36.0,Not Voting
passage,114,hr,2028.0,Nay
passage-suspension,114,hr,91.0,Not Voting
passage,114,hr,2250.0,Nay
passage-suspension,114,s,1170.0,Yea
passage,114,hr,1994.0,Nay
passage-suspension,114,hr,2722.0,Yea
passage-suspension,114,hr,158.0,Yea
passage,114,hres,260.0,Nay
passage-suspension,114,s,1090.0,Yea
passage-suspension,114,hr,2770.0,Yea
passage-suspension,114,hr,3750.0,Yea
passage-suspension,114,s,1482.0,Yea
passage,114,hr,3461.0,Nay
passage,114,hr,2262.0,Nay
passage-suspension,114,hr,2499.0,Yea
passage,114,hres,526.0,Nay
passage,114,hr,1737.0,Yea
passage,114,hres,411.0,Nay
passage,114,hr,3009.0,Not Voting
passage-suspension,114,hr,1214.0,Not Voting
passage-suspension,114,hr,2297.0,Yea
passage,114,s,1177.0,Yea
passage,114,hres,560.0,Not Voting
passage-suspension,114,hr,1656.0,Yea
passage-suspension,114,hr,4246.0,Yea
passage,114,hr,1210.0,Yea
passage-suspension,114,hr,1694.0,Yea
passage,114,hres,274.0,Nay
passage-suspension,114,hr,251.0,Not Voting
passage,114,hr,2578.0,Nay
passage,114,hr,3192.0,Yea
passage,114,hr,2577.0,Nay
passage-suspension,114,hres,354.0,Yea
passage-suspension,114,hr,876.0,Yea
passage,114,hr,597.0,Yea
passage,114,hr,749.0,Yea
passage-suspension,114,hr,1853.0,Yea
passage-suspension,114,hr,719.0,Yea
passage-suspension,114,hr,1265.0,Yea
passage-suspension,114,hr,361.0,Yea
passage-suspension,114,hr,1615.0,Yea
passage,114,hres,321.0,Nay
passage,114,hres,448.0,Nay
passage,114,sconres,11.0,Nay
passage-suspension,114,hr,651.0,Yea
passage,114,hr,1295.0,Yea
passage-suspension,114,hr,2200.0,Yea
passage-suspension,114,hr,647.0,Yea
passage-suspension,114,hr,648.0,Yea
passage,114,hres,507.0,Nay
passage,114,hr,1314.0,Yea
passage,114,hr,240.0,Nay
passage,114,hr,1295.0,Nay
passage,114,hres,223.0,Nay
passage,114,hres,338.0,Nay
passage,114,hr,351.0,Nay
passage-suspension,114,hr,1480.0,Yea
passage,114,hr,160.0,Yea
passage-suspension,114,hres,295.0,Yea
passage,114,hres,483.0,Nay
passage,114,hr,2289.0,Nay
passage,114,hjres,35.0,Nay
passage-suspension,114,hr,3350.0,Yea
passage-suspension,114,hr,734.0,Yea
passage-suspension,114,hr,431.0,Yea
passage,114,hr,622.0,Nay
passage-suspension,114,hr,1553.0,Yea
passage-suspension,114,hr,2559.0,Yea
passage-suspension,114,hr,1563.0,Nay
passage,114,hr,3457.0,Yea
passage-suspension,114,hr,91.0,Not Voting
passage-suspension,114,hr,469.0,Yea
passage-suspension,114,hr,3493.0,Yea
passage-suspension,114,hr,216.0,Yea
passage,114,hres,163.0,Nay
passage,114,hr,692.0,Nay
passage,114,hr,10.0,Nay
passage,114,hres,303.0,Nay
passage,114,hres,48.0,Nay
passage-suspension,114,hr,1562.0,Yea
passage-suspension,114,hres,233.0,Yea
passage-suspension,114,hr,4239.0,Yea
passage,114,hr,1735.0,Nay
passage-suspension,114,hr,1839.0,Yea
passage,114,hr,650.0,Nay
passage,114,hr,161.0,Yea
passage,114,hr,1195.0,Nay
passage,114,hr,2029.0,Nay
passage-suspension,114,hr,246.0,Yea
passage-suspension,114,hr,720.0,Yea
passage,114,hjres,43.0,Nay
passage-suspension,114,hr,212.0,Yea
passage-suspension,114,hr,2256.0,Yea
passage-suspension,114,hr,2146.0,Yea
passage,114,hres,5.0,Nay
passage-suspension,114,hr,2288.0,Yea
passage-suspension,114,hr,1300.0,Yea
passage-suspension,114,hr,2297.0,Yea
passage-suspension,114,hr,26.0,Yea
passage-suspension,114,hr,606.0,Yea
passage,114,hr,2130.0,Nay
passage-suspension,114,hr,308.0,Nay
passage-suspension,114,hr,1382.0,Not Voting
passage-suspension,114,hr,1384.0,Yea
passage,114,hres,288.0,Not Voting
passage-suspension,114,hr,3578.0,Not Voting
passage,114,hr,22.0,Yea
passage-suspension,114,hr,37.0,Nay
passage-suspension,114,hr,3842.0,Yea
passage-suspension,114,hr,2795.0,Not Voting
passage-suspension,114,hr,1191.0,Yea
passage-suspension,114,hr,1557.0,Yea
passage,114,hres,255.0,Nay
passage-suspension,114,hr,2270.0,Yea
passage-suspension,114,hr,22.0,Yea
passage-suspension,114,s,178.0,Yea
passage-suspension,114,hr,1338.0,Yea
passage,114,hres,271.0,Nay
passage-suspension,114,s,1356.0,Yea
passage-suspension,114,hr,1723.0,Not Voting
passage,114,hres,529.0,Nay
passage,114,hres,287.0,Nay
passage,114,hr,511.0,Nay
passage,114,hr,644.0,Not Voting
passage-suspension,114,hres,536.0,Yea
passage,114,hres,370.0,Nay
passage-suspension,114,s,1359.0,Yea
passage,114,sjres,23.0,Nay
passage-suspension,114,hr,3114.0,Yea
passage,114,hr,880.0,Nay
passage-suspension,114,hr,2997.0,Not Voting
passage,114,sjres,24.0,Nay
passage-suspension,114,hr,1949.0,Not Voting
passage,114,hres,412.0,Nay
passage-suspension,114,hr,2820.0,Yea
passage-suspension,114,hr,2835.0,Yea
passage-suspension,114,hr,615.0,Yea
passage,114,hconres,55.0,Nay
passage,114,hconres,27.0,Nay
passage-suspension,114,s,2082.0,Yea
passage-suspension,114,hr,1259.0,Yea
passage-suspension,114,hr,805.0,Yea
passage,114,hr,719.0,Yea
passage,114,hr,1731.0,Not Voting
passage-suspension,114,hr,373.0,Yea
passage,114,hr,538.0,Nay
passage-suspension,114,hr,1191.0,Yea
passage,114,hr,1090.0,Nay
passage-suspension,114,hr,2576.0,Yea
passage-suspension,114,hr,1324.0,Yea
passage-suspension,114,hr,2786.0,Yea
passage,114,hr,1190.0,Nay
passage,114,hr,2.0,Yea
passage,114,hres,173.0,Yea
passage,114,hconres,79.0,Nay
passage-suspension,114,hr,623.0,Yea
passage,114,hres,450.0,Yea
passage,114,sjres,8.0,Nay
passage,114,hr,2017.0,Nay
passage-suspension,114,hr,4096.0,Not Voting
passage,114,hr,4890.0,Nay
passage-suspension,114,hr,4855.0,Yea
passage-suspension,114,hr,5977.0,Yea
passage-suspension,114,s,719.0,Not Voting
passage-suspension,114,hr,5713.0,Yea
passage-suspension,114,hr,757.0,Yea
passage-suspension,114,hr,5859.0,Yea
passage-suspension,114,hr,4570.0,Not Voting
passage-suspension,114,hres,658.0,Not Voting
passage-suspension,114,hr,5388.0,Yea
passage,114,hr,5293.0,Nay
veto-override,114,s,2040.0,Yea
passage,114,hres,934.0,Nay
passage,114,hr,4557.0,Nay
passage,114,hr,6392.0,Nay
passage-suspension,114,hr,5963.0,Yea
passage-suspension,114,hr,5037.0,Yea
passage,114,hr,5461.0,Yea
passage-suspension,114,hr,897.0,Nay
passage,114,sjres,22.0,Nay
passage-suspension,114,hr,5613.0,Yea
passage,114,hr,1270.0,Nay
passage,114,hr,3724.0,Yea
passage-suspension,114,hr,6007.0,Yea
passage-suspension,114,hr,4820.0,Not Voting
passage-suspension,114,hr,4314.0,Yea
passage-suspension,114,s,1826.0,Yea
passage,114,hr,2745.0,Not Voting
passage,114,hres,783.0,Nay
passage-suspension,114,hr,5047.0,Yea
passage-suspension,114,hr,5471.0,Yea
passage-suspension,114,hr,1567.0,Yea
passage-suspension,114,hr,5525.0,Nay
passage-suspension,114,hr,5658.0,Yea
passage,114,hr,5143.0,Nay
passage,114,hres,770.0,Nay
passage-suspension,114,hr,6076.0,Yea
passage-suspension,114,hr,4906.0,Yea
passage,114,s,304.0,Nay
passage-suspension,114,s,2971.0,Yea
passage-suspension,114,hr,4904.0,Yea
passage,114,hr,4775.0,Nay
passage-suspension,114,s,3028.0,Yea
passage,114,hres,744.0,Nay
passage-suspension,114,hr,3881.0,Yea
passage,114,hr,5243.0,Nay
passage,114,hr,2576.0,Yea
passage,114,hres,735.0,Nay
passage,114,hr,5631.0,Nay
passage-suspension,114,hr,5015.0,Yea
passage,114,hconres,112.0,Nay
passage-suspension,114,hr,6416.0,Yea
passage-suspension,114,hr,5607.0,Not Voting
passage-suspension,114,hr,5312.0,Yea
passage,114,s,764.0,Yea
passage-suspension,114,hr,3998.0,Yea
passage,114,hr,5424.0,Nay
passage-suspension,114,hr,5606.0,Not Voting
passage-suspension,114,hr,4939.0,Yea
passage,114,s,2943.0,Yea
passage,114,hr,4596.0,Yea
passage-suspension,114,hr,6014.0,Yea
passage-suspension,114,hr,598.0,Yea
passage-suspension,114,hr,2285.0,Yea
passage-suspension,114,hres,780.0,Yea
passage-suspension,114,hr,2669.0,Yea
passage-suspension,114,hconres,75.0,Yea
passage-suspension,114,hr,5625.0,Yea
passage-suspension,114,hr,5785.0,Yea
passage,114,hr,3340.0,Nay
passage-suspension,114,hr,4470.0,Yea
passage-suspension,114,hr,2901.0,Yea
passage,114,hr,2577.0,Nay
passage,114,hr,4641.0,Yea
passage-suspension,114,hr,6297.0,Yea
passage-suspension,114,hconres,121.0,Yea
passage-suspension,114,hr,5523.0,Yea
passage-suspension,114,hr,5946.0,Yea
passage-suspension,114,hr,3231.0,Yea
passage-suspension,114,hr,4416.0,Yea
passage-suspension,114,hr,5147.0,Yea
passage-suspension,114,hr,4843.0,Yea
passage,114,hr,1675.0,Nay
passage,114,hr,4498.0,Yea
passage,114,hr,3791.0,Nay
passage,114,hjres,88.0,Nay
passage-suspension,114,hr,4676.0,Yea
passage-suspension,114,hr,5690.0,Yea
passage-suspension,114,hr,5392.0,Yea
passage-suspension,114,hr,136.0,Yea
passage-suspension,114,s,3283.0,Yea
passage-suspension,114,hr,6393.0,Yea
passage,114,hres,893.0,Nay
passage-suspension,114,hr,5389.0,Yea
passage-suspension,114,hr,3735.0,Yea
passage-suspension,114,hr,5798.0,Yea
veto-override,114,hjres,88.0,Nay
passage-suspension,114,hr,4419.0,Yea
passage-suspension,114,hr,4336.0,Yea
passage,114,hr,4885.0,Nay
passage-suspension,114,hr,4407.0,Yea
passage,114,hr,5485.0,Nay
passage-suspension,114,hr,757.0,Yea
passage-suspension,114,hr,4923.0,Yea
passage-suspension,114,s,1252.0,Yea
passage,114,hr,3590.0,Nay
passage-suspension,114,hr,4168.0,Yea
passage-suspension,114,s,1550.0,Yea
passage-suspension,114,hr,4755.0,Yea
passage-suspension,114,hr,4742.0,Yea
passage-suspension,114,hr,5049.0,Yea
passage-suspension,114,hr,3537.0,Nay
passage,114,hr,3716.0,Yea
passage-suspension,114,hr,4238.0,Yea
passage-suspension,114,hr,2187.0,Yea
passage-suspension,114,hr,2646.0,Yea
passage-suspension,114,hr,4408.0,Yea
passage-suspension,114,hr,699.0,Yea
passage-suspension,114,hr,5587.0,Yea
passage,114,s,524.0,Yea
passage-suspension,114,hr,4743.0,Yea
passage-suspension,114,hres,729.0,Yea
passage-suspension,114,hr,4402.0,Yea
passage,114,s,524.0,Yea
passage,114,hr,3762.0,Nay
passage,114,hr,4992.0,Nay
passage-suspension,114,hr,4889.0,Yea
passage-suspension,114,hr,4919.0,Yea
passage,114,hr,4974.0,Nay
passage,114,hr,5119.0,Nay
passage-suspension,114,hr,5578.0,Yea
passage,114,hr,5538.0,Nay
passage-suspension,114,hr,3826.0,Yea
passage-suspension,114,hr,1219.0,Yea
passage-suspension,114,hr,5790.0,Yea
passage-suspension,114,hr,1815.0,Yea
passage,114,hr,2028.0,Nay
passage,114,hres,949.0,Nay
passage,114,hconres,89.0,Nay
passage-suspension,114,hres,939.0,Yea
passage-suspension,114,hr,6427.0,Yea
passage,114,hr,5055.0,Nay
passage-suspension,114,hr,5602.0,Not Voting
passage,114,hres,859.0,Nay
passage,114,hres,743.0,Nay
passage-suspension,114,hres,835.0,Yea
passage-suspension,114,hr,5077.0,Yea
passage-suspension,114,hconres,129.0,Yea
passage,114,hres,820.0,Nay
passage-suspension,114,s,1635.0,Yea
passage,114,hres,819.0,Nay
passage-suspension,114,hr,6394.0,Yea
passage,114,hr,5325.0,Nay
passage-suspension,114,hres,847.0,Yea
passage-suspension,114,hres,660.0,Yea
passage-suspension,114,hr,4586.0,Yea
passage,114,hr,5620.0,Yea
passage,114,hr,3700.0,Yea
passage-suspension,114,hr,670.0,Yea
passage-suspension,114,hr,3957.0,Yea
passage,114,hr,5046.0,Yea
passage,114,hr,766.0,Not Voting
passage-suspension,114,hr,4957.0,Yea
passage-suspension,114,hr,3036.0,Yea
passage,114,hres,706.0,Nay
passage,114,hr,5719.0,Nay
passage-suspension,114,hr,5422.0,Yea
