Category:,Congress,Bill Type,Bill Number,Vote Position
passage,103,hres,226,Yea
passage,103,hres,132,Yea
passage-suspension,103,hr,1109,Yea
passage-suspension,103,hr,2684,Yea
passage-suspension,103,hres,188,Yea
passage,103,hr,1845,Yea
passage-suspension,103,hr,904,Yea
passage-suspension,103,hr,890,Yea
passage,103,hr,1335,Yea
passage-suspension,103,s,326,Yea
passage-suspension,103,sconres,50,Yea
passage,103,hr,1025,Yea
passage,103,hres,319,Yea
passage,103,hjres,283,Yea
passage,103,hres,163,Yea
passage-suspension,103,hr,20,Yea
passage,103,hr,2264,Yea
passage-suspension,103,hr,868,Yea
passage-suspension,103,hr,2202,Yea
passage-suspension,103,s,328,Yea
passage,103,hres,316,Yea
passage,103,hr,2401,Yea
passage,103,hres,71,Yea
passage-suspension,103,hr,3548,Yea
passage,103,hr,2518,Yea
passage,103,hres,263,Yea
passage,103,hr,2295,Nay
passage,103,hr,1876,Yea
passage,103,hres,246,Yea
passage,103,hr,2295,Nay
passage,103,hres,134,Yea
passage,103,hres,322,Yea
passage,103,hr,2739,Yea
passage,103,hres,254,Yea
passage,103,hr,2333,Yea
passage,103,hres,240,Yea
passage,103,hres,320,Yea
passage,103,hr,2491,Yea
passage,103,hres,142,Yea
passage-suspension,103,hr,3350,Yea
passage,103,hconres,39,Yea
passage,103,hr,2518,Yea
passage,103,hres,313,Yea
passage-suspension,103,s,662,Yea
passage-suspension,103,hr,829,Yea
passage,103,hres,216,Yea
passage-suspension,103,hr,2440,Yea
passage,103,hr,4,Yea
passage,103,hres,279,Yea
passage,103,hres,206,Yea
passage-suspension,103,hr,38,Yea
passage,103,hr,2491,Yea
passage-suspension,103,hr,588,Yea
passage-suspension,103,hr,2668,Yea
passage,103,hr,322,Yea
passage,103,hr,2118,Yea
passage,103,hres,293,Yea
passage,103,hres,314,Yea
passage-suspension,103,hr,3351,Yea
passage-suspension,103,hr,2535,Not Voting
passage,103,hres,183,Yea
passage,103,hres,172,Yea
passage-suspension,103,hr,328,Yea
passage,103,hr,1964,Yea
passage,103,s,1,Yea
passage-suspension,103,hr,1133,Yea
passage,103,hres,58,Yea
passage-suspension,103,hr,2457,Yea
passage,103,hres,298,Yea
passage,103,hres,273,Yea
passage-suspension,103,hr,965,Yea
passage,103,hr,2330,Yea
passage,103,hr,2492,Yea
passage-suspension,103,hr,1757,Yea
passage,103,hres,283,Yea
passage-suspension,103,hr,617,Yea
passage,103,hres,59,Yea
passage,103,hr,1430,Yea
passage,103,hres,302,Yea
passage-suspension,103,hr,3098,Yea
passage-suspension,103,hr,707,Yea
passage,103,hres,287,Yea
passage,103,hr,920,Yea
passage,103,hr,2351,Yea
passage,103,hr,2244,Yea
passage-suspension,103,hr,873,Yea
passage,103,hr,2403,Yea
passage,103,hres,268,Nay
passage-suspension,103,hr,2201,Yea
passage,103,hres,252,Yea
passage,103,hres,208,Yea
passage-suspension,103,hr,2202,Yea
passage,103,hres,197,Nay
passage,103,hres,262,Yea
passage,103,hres,195,Yea
passage,103,hres,5,Yea
passage,103,hr,2010,Yea
passage,103,hr,2446,Yea
passage,103,hr,20,Yea
passage,103,hr,3,Yea
passage,103,hres,250,Yea
passage,103,hjres,267,Yea
passage,103,hr,808,Yea
passage,103,hres,241,Yea
passage,103,hres,200,Yea
passage,103,hr,1159,Yea
passage,103,hr,20,Yea
passage,103,hr,2667,Yea
passage,103,hr,1335,Yea
passage,103,hr,2445,Yea
passage-suspension,103,hr,490,Yea
passage,103,hr,820,Yea
passage,103,hr,2519,Yea
passage-suspension,103,hconres,34,Yea
passage,103,hconres,64,Yea
passage-suspension,103,hr,3354,Yea
passage-suspension,103,hr,239,Yea
passage-suspension,103,hr,175,Yea
passage-suspension,103,s,252,Yea
passage,103,hres,103,Yea
passage,103,hr,873,Yea
passage,103,hres,138,Yea
passage,103,hjres,208,Nay
passage,103,hres,149,Yea
passage,103,hr,2492,Yea
passage-suspension,103,s,164,Yea
passage,103,hres,311,Yea
passage,103,hres,215,Yea
passage,103,hres,145,Yea
passage-suspension,103,hr,3353,Yea
passage-suspension,103,hres,118,Yea
passage-suspension,103,hr,750,Yea
passage,103,hr,518,Yea
passage-suspension,103,hr,4067,Yea
passage,103,hres,568,Yea
passage-suspension,103,hr,4158,Yea
passage,103,hr,1804,Yea
passage,103,hr,4277,Yea
passage-suspension,103,hr,3498,Yea
passage,103,hres,397,Yea
passage,103,hres,512,Yea
passage-suspension,103,hr,4448,Yea
passage,103,hres,416,Yea
passage,103,hr,5110,Nay
passage,103,hres,388,Yea
passage,103,hres,500,Yea
passage,103,hr,3759,Yea
passage-suspension,103,hr,2843,Yea
passage,103,hres,343,Nay
passage-suspension,103,hr,8,Yea
passage,103,hr,4624,Yea
passage,103,hr,4801,Yea
passage,103,hr,5044,Yea
passage-suspension,103,hr,967,Yea
passage-suspension,103,s,1919,Yea
passage-suspension,103,hr,5139,Yea
passage,103,hr,4779,Yea
passage-suspension,103,hr,4476,Yea
passage-suspension,103,hr,4533,Nay
passage-suspension,103,hr,5044,Yea
passage-suspension,103,s,1225,Yea
passage,103,hres,312,Yea
passage-suspension,103,s,986,Yea
passage,103,s,349,Not Voting
passage,103,hr,6,Not Voting
passage,103,hr,4278,Yea
passage,103,hres,565,Yea
passage,103,hr,4606,Yea
passage,103,hres,564,Yea
passage,103,hres,570,Yea
passage-suspension,103,hr,2129,Yea
passage,103,hres,441,Yea
passage,103,s,2182,Yea
passage,103,hr,4906,Not Voting
passage,103,hres,537,Yea
passage,103,hr,3221,Yea
passage,103,s,1066,Yea
passage-suspension,103,hr,4277,Yea
passage,103,s,2000,Yea
passage-suspension,103,hconres,222,Yea
passage-suspension,103,hr,3191,Yea
passage,103,hres,331,Yea
passage,103,hres,422,Yea
passage,103,s,1357,Yea
passage,103,hres,384,Yea
passage,103,hres,429,Yea
passage,103,hjres,373,Yea
passage,103,hr,3474,Yea
passage,103,hres,401,Yea
passage,103,hr,4299,Yea
passage,103,hr,3345,Yea
passage,103,hres,579,Yea
passage,103,hconres,218,Yea
passage-suspension,103,hr,4867,Yea
passage-suspension,103,hr,4034,Yea
passage-suspension,103,hres,476,Yea
passage,103,hres,417,Yea
passage-suspension,103,hres,394,Yea
passage,103,hres,474,Yea
passage-suspension,103,s,2004,Yea
passage,103,hr,4822,Yea
passage,103,hr,4296,Yea
passage-suspension,103,hr,4278,Yea
passage,103,s,208,Yea
passage-suspension,103,hr,2947,Yea
passage,103,hr,4453,Yea
passage,103,s,1569,Yea
passage,103,hres,395,Yea
passage,103,hres,418,Yea
passage,103,hres,550,Not Voting
passage-suspension,103,hr,1520,Yea
passage-suspension,103,hr,4533,Yea
passage,103,hres,447,Yea
passage-suspension,103,hconres,279,Yea
passage,103,hres,526,Yea
passage,103,s,1587,Yea
passage,103,hres,461,Yea
passage,103,hres,450,Yea
passage,103,hr,4539,Yea
passage-suspension,103,hconres,286,Yea
passage,103,hres,444,Yea
passage,103,hr,4650,Not Voting
passage,103,hres,563,Nay
passage-suspension,103,hr,5108,Yea
passage-suspension,103,hr,4308,Yea
passage-suspension,103,hconres,290,Yea
passage,103,hr,4602,Yea
passage,103,hr,4603,Yea
passage,103,hr,4422,Yea
passage,103,hr,4568,Yea
passage,103,hres,536,Yea
passage-suspension,103,hr,3626,Yea
passage,103,hres,439,Yea
passage,103,hres,443,Yea
passage-suspension,103,s,1919,Yea
passage,103,hr,4506,Yea
passage,103,hres,523,Yea
passage,103,s,24,Yea
passage-suspension,103,hr,3636,Yea
passage-suspension,103,s,1225,Yea
passage,103,hres,556,Not Voting
passage-suspension,103,hr,3770,Yea
passage-suspension,103,hr,3693,Yea
passage-suspension,103,hr,4545,Yea
passage,103,hr,4624,Yea
passage-suspension,103,sconres,31,Yea
passage-suspension,103,s,1654,Yea
passage-suspension,103,hres,329,Yea
passage,103,hjres,103,Nay
passage-suspension,103,hr,4066,Yea
passage,103,hr,4426,Yea
passage,103,hr,4506,Yea
passage-suspension,103,hr,3813,Yea
passage,103,hr,2884,Yea
passage,103,hres,375,Yea
passage,103,hr,4650,Yea
passage,104,hres,156,Nay
passage,104,hr,117,Not Voting
passage-suspension,104,s,1322,Not Voting
passage,104,hr,889,Nay
passage,104,sconres,31,Not Voting
passage,104,hr,1833,Not Voting
passage-suspension,104,hconres,53,Yea
passage,104,hr,2539,Not Voting
passage,104,hres,38,Yea
passage-suspension,104,hjres,111,Not Voting
passage,104,hr,2058,Yea
passage,104,hr,9,Nay
passage,104,hr,925,Nay
passage,104,hr,2002,Not Voting
passage,104,hr,1976,Nay
passage-suspension,104,hjres,110,Not Voting
passage,104,hres,135,Yea
passage-suspension,104,hjres,112,Not Voting
passage,104,hres,252,Not Voting
passage,104,hres,249,Not Voting
passage-suspension,104,s,2,Yea
passage-suspension,104,hconres,117,Yea
passage,104,hr,1854,Nay
veto-override,104,hr,1058,Yea
passage-suspension,104,hr,1240,Yea
passage-suspension,104,hr,2677,Nay
passage,104,hres,125,Yea
passage,104,hr,2076,Nay
passage,104,hr,2491,Not Voting
passage,104,hres,5,Nay
passage,104,hjres,102,Nay
passage,104,hr,2525,Yea
passage-suspension,104,hr,2418,Yea
passage,104,hres,296,Nay
passage,104,hr,2519,Yea
passage,104,hr,2274,Yea
passage,104,hres,273,Not Voting
passage,104,hr,2126,Nay
passage,104,hr,2606,Not Voting
passage,104,hres,250,Not Voting
passage-suspension,104,hr,1804,Nay
passage,104,hres,222,Not Voting
passage,104,hr,1905,Yea
passage,104,hres,107,Yea
passage,104,hres,290,Nay
passage,104,hr,483,Nay
passage-suspension,104,hr,694,Yea
passage,104,hres,270,Not Voting
passage,104,hconres,67,Nay
passage,104,hr,1977,Nay
passage,104,hres,205,Yea
passage,104,hr,889,Nay
passage,104,hr,1530,Nay
passage,104,s,21,Nay
passage,104,hr,2621,Present
passage,104,hres,130,Nay
passage-suspension,104,hr,531,Not Voting
passage,104,hr,1058,Nay
passage-suspension,104,hr,2150,Yea
passage,104,hres,176,Not Voting
passage,104,hres,105,Nay
passage,104,hr,2126,Not Voting
passage-suspension,104,hr,402,Not Voting
passage,104,hres,179,Not Voting
passage-suspension,104,hr,2684,Yea
passage,104,s,244,Yea
passage,104,s,1,Yea
passage,104,hres,307,Yea
passage,104,hres,119,Nay
passage,104,hr,1854,Nay
passage,104,hres,301,Nay
passage,104,hr,2099,Nay
passage,104,hr,660,Yea
passage,104,hres,304,Yea
passage,104,s,395,Not Voting
passage,104,hr,2586,Not Voting
passage,104,hjres,115,Not Voting
passage,104,hres,140,Yea
passage,104,hr,2076,Nay
passage,104,hr,2491,Nay
passage,104,hjres,1,Not Voting
passage,104,hres,192,Yea
passage,104,hconres,67,Nay
passage-suspension,104,hres,247,Not Voting
passage,104,hr,2002,Yea
passage-suspension,104,hr,657,Not Voting
passage,104,hres,257,Not Voting
passage,104,hres,238,Not Voting
passage,104,hr,39,Not Voting
passage-suspension,104,hr,2353,Not Voting
passage,104,hr,1977,Nay
