Category:,Congress,Bill Type,Bill Number,Vote Position
passage-suspension,111,hres,47,Yea
passage-suspension,111,hr,479,Nay
passage,111,hr,1105,Nay
passage-suspension,111,hr,911,Nay
passage-suspension,111,hr,1679,Yea
passage,111,hres,645,Nay
passage-suspension,111,hr,3137,Yea
passage,111,hr,146,Nay
passage-suspension,111,hres,56,Yea
passage-suspension,111,s,1599,Yea
passage,111,hres,53,Nay
passage-suspension,111,hr,2729,Nay
passage-suspension,111,hconres,151,Yea
passage,111,hr,1256,Nay
passage-suspension,111,hres,34,Yea
passage-suspension,111,hres,845,Yea
passage-suspension,111,hres,507,Yea
passage-suspension,111,hres,701,Nay
passage-suspension,111,hres,811,Yea
passage-suspension,111,hconres,199,Yea
passage-suspension,111,s,1793,Nay
passage-suspension,111,hjres,26,Yea
passage-suspension,111,hres,260,Yea
passage-suspension,111,hr,402,Yea
passage-suspension,111,s,383,Yea
passage,111,hres,190,Nay
passage,111,hres,962,Nay
passage-suspension,111,hr,957,Yea
passage-suspension,111,hres,779,Yea
passage,111,hres,746,Nay
passage-suspension,111,hr,44,Nay
passage,111,hres,766,Nay
passage-suspension,111,hr,20,Yea
passage-suspension,111,hr,601,Yea
passage-suspension,111,hconres,206,Yea
passage-suspension,111,hr,1817,Yea
passage-suspension,111,hres,543,Nay
passage-suspension,111,hres,650,Yea
passage-suspension,111,hres,558,Yea
passage-suspension,111,hr,1622,Nay
passage-suspension,111,hres,40,Yea
passage-suspension,111,hres,940,Yea
passage,111,hjres,3,Yea
passage-suspension,111,hres,837,Yea
passage,111,hr,2997,Nay
passage,111,hres,644,Nay
passage-suspension,111,hr,3590,Yea
passage-suspension,111,hres,41,Yea
passage,111,hr,2781,Nay
passage-suspension,111,hres,692,Yea
passage-suspension,111,hres,529,Yea
passage-suspension,111,hconres,164,Yea
passage,111,hres,427,Nay
passage,111,hres,559,Nay
passage-suspension,111,hr,3119,Yea
passage-suspension,111,hr,1211,Not Voting
passage-suspension,111,hres,534,Yea
passage-suspension,111,hr,1089,Yea
passage-suspension,111,s,407,Not Voting
passage,111,hres,673,Nay
passage,111,hres,379,Nay
passage,111,hr,2996,Nay
passage-suspension,111,hr,35,Yea
passage-suspension,111,hres,593,Yea
passage,111,hres,876,Nay
passage-suspension,111,hr,3435,Nay
passage,111,hres,365,Nay
passage,111,hconres,172,Yea
passage-suspension,111,hr,2972,Yea
passage-suspension,111,s,896,Yea
passage,111,hres,464,Nay
passage,111,hconres,133,Yea
passage-suspension,111,hr,1016,Not Voting
passage-suspension,111,hconres,84,Yea
passage-suspension,111,hres,560,Yea
passage-suspension,111,hr,3737,Yea
passage,111,hres,691,Nay
passage-suspension,111,sconres,45,Yea
passage,111,hres,371,Nay
passage,111,hr,3619,Yea
passage,111,hres,610,Nay
passage,111,hr,3293,Nay
passage,111,hres,5,Nay
passage-suspension,111,hres,368,Yea
passage-suspension,111,hres,329,Yea
passage-suspension,111,hres,459,Yea
passage-suspension,111,hres,398,Yea
passage-suspension,111,hres,447,Yea
passage-suspension,111,hres,729,Yea
passage-suspension,111,hres,867,Yea
passage,111,hres,744,Nay
passage,111,hr,3585,Nay
passage,111,hres,685,Nay
passage-suspension,111,hres,299,Yea
passage,111,hres,609,Nay
passage-suspension,111,hr,2990,Yea
passage-suspension,111,sconres,30,Yea
passage,111,hr,2346,Yea
passage-suspension,111,hres,641,Yea
passage,111,hres,909,Nay
passage,111,hres,665,Nay
passage,111,hconres,210,Nay
passage-suspension,111,hr,2938,Yea
passage-suspension,111,hr,1849,Yea
passage,111,hconres,214,Yea
passage-suspension,111,hconres,109,Yea
passage,111,hr,3288,Nay
passage-suspension,111,hconres,111,Yea
passage-suspension,111,hr,3157,Yea
passage,111,hres,406,Nay
passage-suspension,111,hr,1746,Nay
passage-suspension,111,hconres,59,Yea
passage-suspension,111,hr,2097,Yea
passage,111,hr,3854,Nay
passage-suspension,111,hres,6,Yea
passage-suspension,111,hr,1139,Nay
passage-suspension,111,hres,175,Yea
passage,111,hr,2892,Yea
passage-suspension,111,hres,866,Yea
passage-suspension,111,hres,471,Yea
passage-suspension,111,hres,69,Yea
passage-suspension,111,hr,3276,Yea
passage-suspension,111,hres,432,Yea
passage-suspension,111,hr,3539,Yea
passage-suspension,111,hres,863,Yea
passage-suspension,111,hres,377,Yea
passage-suspension,111,hr,1675,Nay
passage,111,hr,31,Nay
passage-suspension,111,hres,856,Yea
passage-suspension,111,hres,270,Yea
passage-suspension,111,hres,224,Yea
passage-suspension,111,hres,505,Yea
passage-suspension,111,hr,3689,Yea
passage-suspension,111,hr,1044,Yea
passage,111,hres,87,Nay
passage,111,hres,829,Nay
passage-suspension,111,hres,768,Yea
passage-suspension,111,hr,1736,Nay
