Category:,Congress,Bill Type,Bill Number,Vote Position
passage,116,hres,445.0,Nay
passage,116,hres,509.0,Nay
passage,116,hres,131.0,Nay
passage-suspension,116,hr,1759.0,Yea
passage-suspension,116,hr,676.0,Not Voting
passage,116,hres,564.0,Nay
passage-suspension,116,hr,539.0,Yea
passage-suspension,116,s,24.0,Yea
passage-suspension,116,hr,1590.0,Yea
passage,116,hres,28.0,Nay
passage,116,hr,2181.0,Nay
passage,116,hres,172.0,Nay
passage,116,hr,1815.0,Nay
passage,116,hres,656.0,Nay
passage,116,hr,3525.0,Nay
passage,116,hr,264.0,Nay
passage,116,hres,252.0,Nay
passage-suspension,116,hjres,30.0,Yea
passage-suspension,116,hr,276.0,Yea
passage,116,hres,519.0,Nay
passage-suspension,116,hr,328.0,Yea
passage,116,hr,2740.0,Nay
passage,116,hjres,31.0,Yea
passage,116,hr,4378.0,Nay
passage,116,hres,357.0,Nay
passage-suspension,116,hr,3722.0,Yea
passage-suspension,116,hr,226.0,Yea
passage-suspension,116,hres,183.0,Yea
passage,116,hr,266.0,Nay
passage,116,sjres,54.0,Yea
passage-suspension,116,hr,1593.0,Yea
passage,116,hres,296.0,Yea
passage,116,hr,21.0,Nay
passage-suspension,116,hr,3253.0,Yea
passage-suspension,116,hr,221.0,Yea
passage,116,hres,431.0,Nay
passage,116,hres,462.0,Nay
passage-suspension,116,hr,3702.0,Nay
passage-suspension,116,hr,1921.0,Yea
passage-suspension,116,hr,499.0,Yea
passage-suspension,116,hr,2609.0,Yea
passage,116,hres,466.0,Yea
passage-suspension,116,hr,3734.0,Yea
passage,116,sjres,36.0,Nay
passage-suspension,116,hr,2744.0,Yea
passage-suspension,116,s,151.0,Yea
passage,116,sjres,38.0,Nay
passage-suspension,116,hr,4183.0,Yea
passage,116,hr,2534.0,Yea
passage,116,hr,3.0,Nay
passage-suspension,116,hr,3537.0,Yea
passage,116,hres,430.0,Nay
passage,116,hres,497.0,Nay
passage,116,hres,765.0,Nay
passage,116,hres,739.0,Nay
passage-suspension,116,hr,1327.0,Yea
passage,116,sjres,37.0,Nay
passage,116,hr,312.0,Nay
passage-suspension,116,hres,393.0,Yea
passage,116,hr,1158.0,Nay
passage,116,hres,415.0,Nay
passage,116,hres,326.0,Nay
passage-suspension,116,hr,1892.0,Yea
passage-suspension,116,hr,4761.0,Yea
passage,116,hr,1994.0,Yea
passage-suspension,116,hr,748.0,Yea
passage-suspension,116,hr,2409.0,Yea
passage-suspension,116,hr,5084.0,Nay
passage,116,hr,3494.0,Yea
passage-suspension,116,hr,375.0,Yea
passage,116,hres,772.0,Nay
passage,116,hres,377.0,Nay
passage-suspension,116,s,2710.0,Yea
passage,116,hres,460.0,Nay
passage,116,hr,3055.0,Nay
passage-suspension,116,hr,3050.0,Yea
passage,116,hres,208.0,Nay
passage-suspension,116,hr,135.0,Yea
passage-suspension,116,hr,1654.0,Yea
passage-suspension,116,hr,2426.0,Yea
passage-suspension,116,hr,2440.0,Nay
passage,116,hres,105.0,Nay
passage,116,hres,271.0,Nay
passage-suspension,116,hr,428.0,Yea
passage,116,hjres,31.0,Nay
passage,116,hres,274.0,Nay
passage,116,hr,1941.0,Nay
passage-suspension,116,hr,769.0,Yea
passage-suspension,116,hr,66.0,Yea
passage,116,hres,144.0,Nay
passage-suspension,116,hr,1876.0,Yea
passage,116,hjres,46.0,Yea
passage,116,hr,2513.0,Nay
passage,116,hres,576.0,Yea
passage-suspension,116,hr,4407.0,Yea
passage-suspension,116,hr,777.0,Yea
passage,116,hr,2203.0,Nay
passage-suspension,116,hr,596.0,Yea
passage-suspension,116,hres,41.0,Yea
passage,116,hres,43.0,Nay
passage,116,hconres,24.0,Yea
passage-suspension,116,hr,3190.0,Yea
passage-suspension,116,hres,273.0,Yea
passage,116,hres,87.0,Nay
passage-suspension,116,hres,328.0,Yea
passage-suspension,116,s,47.0,Yea
passage-suspension,116,hr,1420.0,Yea
passage-suspension,116,hr,831.0,Yea
passage-suspension,116,hr,449.0,Yea
passage,116,hr,1112.0,Nay
passage,116,hr,3624.0,Nay
passage-suspension,116,hr,269.0,Yea
passage-suspension,116,hr,251.0,Yea
passage-suspension,116,hjres,77.0,Yea
passage-suspension,116,hr,1381.0,Yea
passage-suspension,116,hr,4406.0,Yea
passage-suspension,116,hr,2385.0,Yea
passage,116,hres,124.0,Nay
passage,116,hr,265.0,Nay
passage,116,hres,294.0,Nay
passage-suspension,116,hr,507.0,Not Voting
passage-suspension,116,hr,1065.0,Yea
passage-suspension,116,hr,3375.0,Yea
passage,116,hr,648.0,Nay
passage,116,hres,52.0,Nay
passage,116,hres,558.0,Nay
passage-suspension,116,hconres,19.0,Yea
passage,116,hr,5430.0,Yea
passage,116,hres,61.0,Nay
passage-suspension,116,hr,91.0,Yea
passage,116,hres,591.0,Nay
