Category:,Congress,Bill Type,Bill Number,Vote Position
passage-suspension,108,hr,1609.0,Yea
passage-suspension,108,s,330.0,Not Voting
passage-suspension,108,hres,372.0,Yea
passage,108,hr,1350.0,Yea
passage,108,s,3.0,Nay
passage-suspension,108,hr,743.0,Nay
passage,108,hr,2754.0,Yea
passage-suspension,108,hr,2998.0,Yea
passage-suspension,108,hr,2330.0,Yea
passage,108,hr,7.0,Yea
passage,108,hres,421.0,Not Voting
passage-suspension,108,hres,356.0,Not Voting
passage,108,hr,2658.0,Yea
passage-suspension,108,hres,400.0,Not Voting
passage-suspension,108,hr,1055.0,Yea
passage,108,hres,51.0,Yea
passage-suspension,108,hr,1460.0,Yea
passage,108,hr,395.0,Yea
passage-suspension,108,hconres,22.0,Yea
passage-suspension,108,hr,923.0,Yea
passage-suspension,108,hr,2297.0,Yea
passage,108,hres,316.0,Nay
passage-suspension,108,hres,111.0,Yea
passage-suspension,108,hr,1047.0,Yea
passage,108,hr,2673.0,Yea
passage-suspension,108,hr,1925.0,Not Voting
passage-suspension,108,hr,100.0,Yea
passage-suspension,108,hres,355.0,Yea
passage-suspension,108,hconres,96.0,Yea
passage,108,hr,975.0,Yea
passage-suspension,108,hconres,27.0,Yea
passage,108,hr,1559.0,Yea
passage,108,hr,2417.0,Yea
passage-suspension,108,hr,3288.0,Not Voting
passage,108,hres,190.0,Nay
passage,108,hr,3289.0,Yea
passage-suspension,108,hconres,302.0,Not Voting
passage,108,hr,1474.0,Yea
passage-suspension,108,hconres,299.0,Yea
passage,108,hres,444.0,Yea
passage-suspension,108,hconres,220.0,Yea
passage-suspension,108,sconres,43.0,Yea
passage,108,s,273.0,Yea
passage-suspension,108,hconres,83.0,Yea
passage-suspension,108,s,686.0,Yea
passage-suspension,108,s,877.0,Yea
passage,108,hr,2417.0,Nay
passage,108,hr,2673.0,Yea
passage,108,s,342.0,Yea
passage-suspension,108,hr,2254.0,Yea
passage,108,hr,1829.0,Nay
passage-suspension,108,hr,1610.0,Yea
passage,108,hr,2800.0,Yea
passage,108,s,222.0,Yea
passage-suspension,108,s,703.0,Yea
passage,108,hjres,78.0,Yea
passage,108,hr,2989.0,Yea
passage-suspension,108,s,286.0,Yea
passage,108,hres,5.0,Nay
passage-suspension,108,hconres,288.0,Yea
passage,108,hr,2.0,Nay
passage-suspension,108,hconres,206.0,Yea
passage-suspension,108,hres,201.0,Yea
passage,108,hr,2861.0,Nay
passage,108,hjres,79.0,Yea
passage,108,hres,257.0,Nay
passage-suspension,108,hres,350.0,Yea
passage-suspension,108,hjres,63.0,Yea
passage-suspension,108,hr,1683.0,Yea
passage-suspension,108,hr,253.0,Yea
passage-suspension,108,s,273.0,Nay
passage,108,hr,3289.0,Not Voting
passage-suspension,108,hres,427.0,Yea
passage,108,hr,2559.0,Yea
passage,108,hr,6.0,Nay
passage-suspension,108,hr,3214.0,Yea
passage-suspension,108,hres,177.0,Yea
passage-suspension,108,hres,359.0,Yea
passage-suspension,108,hr,1828.0,Yea
passage-suspension,108,s,222.0,Nay
passage-suspension,108,hconres,177.0,Yea
passage-suspension,108,hconres,209.0,Yea
passage-suspension,108,hr,2309.0,Yea
passage,108,hconres,259.0,Yea
passage,108,hres,338.0,Nay
passage-suspension,108,hr,1954.0,Yea
passage-suspension,108,hconres,209.0,Yea
passage-suspension,108,hr,3365.0,Yea
passage-suspension,108,hr,3491.0,Yea
passage,108,hr,2754.0,Yea
passage,108,hr,2143.0,Yea
passage-suspension,108,hr,2420.0,Yea
passage-suspension,108,hr,2620.0,Yea
passage-suspension,108,hres,264.0,Yea
passage,108,hr,2115.0,Yea
passage,108,hr,1036.0,Nay
passage-suspension,108,hres,199.0,Yea
passage-suspension,108,hconres,40.0,Yea
passage-suspension,108,hres,46.0,Yea
passage-suspension,108,hr,1416.0,Yea
passage-suspension,108,hr,3365.0,Not Voting
passage,108,s,380.0,Yea
passage-suspension,108,hr,1720.0,Not Voting
passage-suspension,108,hconres,291.0,Not Voting
passage-suspension,108,hr,417.0,Yea
passage-suspension,108,hconres,6.0,Yea
passage-suspension,108,hres,204.0,Yea
passage-suspension,108,hr,659.0,Yea
passage-suspension,108,hconres,77.0,Yea
passage,108,hconres,95.0,Nay
passage,108,hr,2122.0,Yea
passage-suspension,108,hr,342.0,Yea
passage-suspension,108,hconres,149.0,Yea
passage-suspension,108,hr,281.0,Not Voting
passage-suspension,108,hres,109.0,Yea
passage,108,hr,2658.0,Yea
passage-suspension,108,hconres,58.0,Yea
passage,108,hr,2657.0,Yea
passage,108,hr,2691.0,Nay
passage-suspension,108,hr,1166.0,Yea
passage-suspension,108,hconres,160.0,Not Voting
passage-suspension,108,hr,663.0,Yea
passage,108,hjres,75.0,Not Voting
passage-suspension,108,hr,1516.0,Not Voting
passage-suspension,108,hr,273.0,Yea
passage-suspension,108,hr,108.0,Yea
passage-suspension,108,hres,277.0,Yea
passage-suspension,108,hr,2359.0,Yea
passage,108,hr,2555.0,Yea
passage-suspension,108,hres,414.0,Not Voting
passage-suspension,108,hconres,36.0,Yea
passage-suspension,108,hres,294.0,Yea
passage-suspension,108,hres,170.0,Yea
passage,108,hr,2596.0,Yea
passage-suspension,108,hres,222.0,Not Voting
passage,108,hr,438.0,Yea
passage,108,hr,2555.0,Yea
passage,108,hres,206.0,Nay
passage-suspension,108,hr,399.0,Yea
passage-suspension,108,hr,1409.0,Yea
passage-suspension,108,hres,213.0,Yea
passage-suspension,108,hr,1463.0,Nay
passage-suspension,108,hr,868.0,Yea
passage,108,hres,191.0,Nay
passage-suspension,108,hr,441.0,Yea
passage-suspension,108,hr,314.0,Yea
passage-suspension,108,hr,389.0,Yea
passage-suspension,108,hconres,156.0,Yea
passage-suspension,108,hres,409.0,Not Voting
passage-suspension,108,hres,26.0,Yea
passage-suspension,108,hres,25.0,Yea
passage-suspension,108,hr,1761.0,Yea
passage,108,hres,377.0,Yea
passage-suspension,108,hres,61.0,Yea
passage-suspension,108,hr,2465.0,Yea
passage,108,hres,310.0,Nay
passage-suspension,108,hres,62.0,Yea
passage-suspension,108,s,678.0,Yea
passage,108,hr,2660.0,Nay
passage-suspension,108,hr,961.0,Yea
passage-suspension,108,hr,1740.0,Yea
passage,108,hres,239.0,Not Voting
passage-suspension,108,hr,1307.0,Yea
passage-suspension,108,hconres,166.0,Not Voting
passage,108,hconres,95.0,Nay
passage-suspension,108,hr,1596.0,Yea
passage-suspension,108,hres,106.0,Yea
passage,108,hr,13.0,Yea
passage-suspension,108,hconres,53.0,Yea
passage-suspension,108,hr,346.0,Yea
passage,108,hjres,73.0,Not Voting
passage-suspension,108,hjres,19.0,Yea
passage,108,hres,309.0,Nay
passage,108,hr,2691.0,Not Voting
passage,108,hr,2115.0,Not Voting
passage-suspension,108,hres,10.0,Yea
passage,108,hres,407.0,Not Voting
passage,108,hjres,27.0,Yea
passage-suspension,108,hconres,274.0,Yea
passage-suspension,108,hr,866.0,Yea
passage,108,hr,3108.0,Yea
passage-suspension,108,hconres,54.0,Yea
passage,108,hconres,104.0,Yea
passage,108,hr,766.0,Yea
passage-suspension,108,hres,132.0,Yea
passage-suspension,108,hr,1018.0,Not Voting
passage-suspension,108,hr,699.0,Yea
passage-suspension,108,hconres,147.0,Not Voting
passage-suspension,108,hres,352.0,Yea
passage-suspension,108,hr,788.0,Yea
passage-suspension,108,hr,1625.0,Yea
passage-suspension,108,hr,1516.0,Yea
passage-suspension,108,hr,3140.0,Yea
passage-suspension,108,hres,423.0,Yea
passage-suspension,108,hres,159.0,Yea
passage-suspension,108,hr,1465.0,Yea
passage,108,hr,760.0,Nay
passage-suspension,108,sjres,18.0,Yea
passage,108,hr,1588.0,Yea
passage,108,hres,270.0,Nay
passage,108,hr,2799.0,Yea
passage-suspension,108,hres,171.0,Yea
passage-suspension,108,hres,195.0,Yea
passage-suspension,108,hr,1257.0,Yea
passage-suspension,108,hres,393.0,Yea
passage,108,hconres,191.0,Nay
passage,108,hres,450.0,Yea
passage,108,s,23.0,Yea
passage-suspension,108,hr,658.0,Yea
passage,108,hr,1115.0,Yea
passage-suspension,108,sjres,22.0,Yea
passage-suspension,108,hr,3300.0,Yea
passage-suspension,108,hr,2350.0,Yea
passage,108,hjres,76.0,Yea
passage-suspension,108,hconres,110.0,Yea
passage-suspension,108,hconres,176.0,Yea
passage-suspension,108,hconres,162.0,Yea
passage-suspension,108,hr,1006.0,Yea
passage-suspension,108,hr,2622.0,Yea
passage-suspension,108,hr,1170.0,Yea
passage-suspension,108,s,1156.0,Yea
passage-suspension,108,hr,1911.0,Yea
passage,108,hres,459.0,Nay
passage,108,hr,2622.0,Yea
passage,108,hr,1904.0,Nay
passage-suspension,108,s,763.0,Yea
passage,108,hr,1.0,Nay
passage-suspension,108,hres,231.0,Yea
passage-suspension,108,hr,1274.0,Yea
passage-suspension,108,hconres,212.0,Yea
passage-suspension,108,hres,252.0,Yea
passage-suspension,108,s,763.0,Yea
passage-suspension,108,hconres,320.0,Yea
passage-suspension,108,hconres,94.0,Yea
passage-suspension,108,hr,1320.0,Yea
passage,108,hjres,4.0,Nay
passage-suspension,108,hr,1533.0,Yea
passage,108,hr,2765.0,Nay
passage-suspension,108,hres,453.0,Yea
passage,108,hr,1000.0,Nay
passage-suspension,108,hres,19.0,Yea
passage-suspension,108,hres,357.0,Yea
passage,108,hr,3161.0,Yea
passage-suspension,108,hconres,85.0,Yea
passage-suspension,108,hconres,109.0,Yea
passage,108,hr,2657.0,Yea
passage-suspension,108,hres,153.0,Yea
passage,108,hr,4.0,Nay
passage-suspension,108,s,858.0,Yea
passage-suspension,108,hconres,49.0,Yea
passage,108,s,151.0,Yea
passage-suspension,108,hr,1828.0,Yea
passage-suspension,108,hr,1584.0,Yea
passage,108,hres,418.0,Yea
passage-suspension,108,hr,1368.0,Yea
passage-suspension,108,hr,205.0,Yea
passage,108,hr,534.0,Nay
passage-suspension,108,hres,165.0,Yea
passage-suspension,108,hconres,118.0,Yea
passage-suspension,108,hconres,26.0,Yea
passage-suspension,108,hr,874.0,Yea
passage-suspension,108,hr,1412.0,Yea
passage-suspension,108,hres,122.0,Yea
passage,108,hjres,69.0,Yea
passage,108,hr,522.0,Yea
passage,108,hr,2559.0,Yea
passage-suspension,108,hres,179.0,Yea
passage,108,hres,422.0,Not Voting
passage-suspension,108,hconres,141.0,Yea
passage,108,hres,417.0,Yea
passage-suspension,108,hres,127.0,Yea
passage-suspension,108,hr,258.0,Yea
