Category:,Congress,Bill Type,Bill Number,Vote Position
passage,116,hres,445,Yea
passage,116,hres,509,Yea
passage,116,hres,131,Yea
passage-suspension,116,hr,1759,Yea
passage-suspension,116,hr,676,Yea
passage,116,hres,564,Yea
passage-suspension,116,hr,539,Yea
passage-suspension,116,s,24,Yea
passage-suspension,116,hr,1590,Yea
passage,116,hres,28,Yea
passage,116,hr,2181,Yea
passage,116,hres,172,Yea
passage,116,hr,1815,Yea
passage,116,hres,656,Yea
passage,116,hr,3525,Yea
passage,116,hr,264,Yea
passage,116,hres,252,Yea
passage-suspension,116,hjres,30,Yea
passage-suspension,116,hr,276,Yea
passage,116,hres,519,Yea
passage-suspension,116,hr,328,Yea
passage,116,hr,2740,Yea
passage,116,hjres,31,Yea
passage,116,hr,4378,Yea
passage,116,hres,357,Yea
passage-suspension,116,hr,3722,Yea
passage-suspension,116,hr,226,Yea
passage-suspension,116,hres,183,Yea
passage,116,hr,266,Yea
passage,116,sjres,54,Yea
passage-suspension,116,hr,1593,Yea
passage,116,hres,296,Yea
passage,116,hr,21,Yea
passage-suspension,116,hr,3253,Yea
passage-suspension,116,hr,221,Yea
passage,116,hres,431,Yea
passage,116,hres,462,Yea
passage-suspension,116,hr,3702,Yea
passage-suspension,116,hr,1921,Yea
passage-suspension,116,hr,499,Yea
passage-suspension,116,hr,2609,Yea
passage,116,hres,466,Nay
passage-suspension,116,hr,3734,Yea
passage,116,sjres,36,Yea
passage-suspension,116,hr,2744,Yea
passage-suspension,116,s,151,Yea
passage,116,sjres,38,Yea
passage-suspension,116,hr,4183,Yea
passage,116,hr,2534,Yea
passage,116,hr,3,Yea
passage-suspension,116,hr,3537,Yea
passage,116,hres,430,Yea
passage,116,hres,497,Yea
passage,116,hres,765,Yea
passage,116,hres,739,Yea
passage-suspension,116,hr,1327,Yea
passage,116,sjres,37,Yea
passage,116,hr,312,Yea
passage-suspension,116,hres,393,Yea
passage,116,hr,1158,Yea
passage,116,hres,415,Yea
passage,116,hres,326,Yea
passage-suspension,116,hr,1892,Yea
passage-suspension,116,hr,4761,Yea
passage,116,hr,1994,Yea
passage-suspension,116,hr,748,Yea
passage-suspension,116,hr,2409,Yea
passage-suspension,116,hr,5084,Yea
passage,116,hr,3494,Yea
passage-suspension,116,hr,375,Yea
passage,116,hres,772,Yea
passage,116,hres,377,Yea
passage-suspension,116,s,2710,Yea
passage,116,hres,460,Yea
passage,116,hr,3055,Yea
passage-suspension,116,hr,3050,Yea
passage,116,hres,208,Yea
passage-suspension,116,hr,135,Yea
