Category:,Congress,Bill Type,Bill Number,Vote Position
passage-suspension,112,hr,3477,Yea
passage,112,hr,3630,Nay
passage-suspension,112,hconres,105,Yea
passage-suspension,112,hr,3803,Yea
passage,112,hres,540,Yea
passage-suspension,112,s,679,Nay
passage,112,hr,436,Yea
passage-suspension,112,hr,4040,Yea
passage-suspension,112,hconres,118,Yea
passage,112,hr,2842,Yea
passage-suspension,112,hr,6429,Yea
passage-suspension,112,hr,1022,Yea
passage-suspension,112,hr,3835,Yea
passage-suspension,112,hconres,127,Yea
passage-suspension,112,hr,3001,Yea
passage-suspension,112,hr,347,Yea
passage-suspension,112,hconres,117,Yea
passage-suspension,112,hr,828,Yea
passage,112,hr,4089,Yea
passage-suspension,112,s,2039,Yea
passage,112,hres,563,Not Voting
passage-suspension,112,hr,3567,Yea
passage,112,hr,5854,Yea
passage-suspension,112,hr,5987,Nay
passage-suspension,112,hr,3801,Yea
passage-suspension,112,hr,4264,Yea
passage,112,hres,827,Yea
passage,112,hr,6429,Yea
passage-suspension,112,hr,6582,Yea
passage,112,hres,841,Yea
passage-suspension,112,hr,2072,Nay
passage-suspension,112,hr,3117,Yea
passage-suspension,112,hr,6443,Yea
passage-suspension,112,hr,3159,Yea
passage,112,hres,717,Yea
passage,112,hr,5326,Yea
passage-suspension,112,hr,6190,Yea
passage-suspension,112,s,925,Yea
passage,112,hres,706,Yea
passage-suspension,112,hr,3197,Yea
passage,112,hjres,98,Yea
passage-suspension,112,hr,4133,Yea
passage,112,hr,4348,Yea
passage-suspension,112,hr,6018,Yea
passage-suspension,112,s,3454,Yea
passage-suspension,112,hr,6726,Yea
passage-suspension,112,hr,915,Yea
passage-suspension,112,hr,5740,Yea
passage-suspension,112,hr,3783,Yea
passage,112,hr,6156,Yea
passage-suspension,112,s,3564,Yea
passage-suspension,112,hr,6364,Yea
passage-suspension,112,hr,6612,Yea
passage,112,hres,726,Yea
passage,112,hres,724,Yea
passage,112,hr,5972,Yea
passage-suspension,112,hr,3541,Yea
passage-suspension,112,hr,5997,Yea
passage-suspension,112,hr,205,Yea
passage-suspension,112,hr,6655,Nay
passage-suspension,112,hr,6621,Yea
passage,112,hres,656,Yea
passage-suspension,112,hr,6016,Yea
passage-suspension,112,hr,2453,Yea
passage,112,hres,537,Yea
passage,112,hr,658,Yea
passage-suspension,112,hr,4365,Yea
passage-suspension,112,hr,5044,Yea
passage-suspension,112,hr,5865,Nay
passage-suspension,112,s,404,Yea
passage,112,hr,2578,Yea
passage-suspension,112,hr,1339,Yea
passage,112,hres,631,Yea
passage-suspension,112,hr,459,Yea
passage,112,hr,9,Yea
passage-suspension,112,s,1134,Yea
passage,112,hr,5325,Yea
passage-suspension,112,hres,556,Yea
passage,112,hres,587,Yea
passage-suspension,112,hr,665,Yea
passage-suspension,112,hr,3857,Yea
passage-suspension,112,hres,750,Yea
passage,112,hr,3578,Yea
passage-suspension,112,hr,1162,Yea
passage-suspension,112,hr,2938,Yea
passage-suspension,112,hr,2453,Yea
passage-suspension,112,hr,3637,Yea
passage-suspension,112,hr,6168,Nay
passage,112,hres,562,Yea
passage,112,hres,597,Yea
passage-suspension,112,hr,2157,Yea
passage,112,hr,4281,Yea
passage-suspension,112,hr,2139,Yea
passage,112,hr,5949,Yea
passage-suspension,112,hr,3606,Yea
passage-suspension,112,hr,1815,Yea
passage-suspension,112,s,2038,Yea
passage-suspension,112,hr,6122,Yea
passage-suspension,112,hr,6186,Yea
passage,112,hres,522,Yea
passage,112,hres,691,Yea
passage,112,hconres,112,Yea
passage-suspension,112,hr,2096,Yea
passage-suspension,112,hr,1141,Yea
passage,112,hr,6684,Yea
passage-suspension,112,hr,5872,Yea
passage-suspension,112,hr,2070,Yea
passage-suspension,112,hr,4053,Yea
passage-suspension,112,s,2367,Yea
passage-suspension,112,sconres,50,Yea
passage-suspension,112,s,3193,Yea
passage-suspension,112,hr,915,Yea
passage-suspension,112,s,2009,Yea
passage,112,hr,4310,Yea
passage-suspension,112,hres,516,Yea
passage,112,hres,821,Yea
passage-suspension,112,hr,6504,Nay
passage-suspension,112,hr,4606,Yea
passage-suspension,112,hr,6602,Yea
passage-suspension,112,hr,4201,Yea
passage-suspension,112,hres,568,Yea
passage,112,hres,708,Yea
passage-suspension,112,hr,4005,Yea
passage-suspension,112,hr,365,Yea
passage-suspension,112,hr,1845,Yea
passage-suspension,112,hr,6672,Yea
passage,112,hres,844,Yea
passage-suspension,112,hr,4155,Yea
passage-suspension,112,hr,2362,Yea
passage-suspension,112,hr,443,Yea
passage-suspension,112,s,3202,Yea
passage-suspension,112,s,3642,Yea
passage-suspension,112,hr,4119,Yea
passage-suspension,112,hr,4251,Yea
passage-suspension,112,hr,3874,Yea
passage-suspension,112,hres,668,Yea
passage-suspension,112,hr,6371,Yea
passage-suspension,112,hr,5651,Yea
passage-suspension,112,hr,4057,Yea
passage-suspension,112,hr,4367,Yea
passage,112,hr,5856,Yea
passage-suspension,112,hr,5892,Yea
passage-suspension,112,hr,2079,Yea
passage,112,hr,5855,Yea
passage,112,hr,5882,Yea
passage-suspension,112,s,684,Yea
passage-suspension,112,hr,3336,Yea
passage-suspension,112,hr,886,Yea
passage-suspension,112,hr,2779,Yea
passage,112,hres,788,Yea
passage-suspension,112,hr,1775,Yea
passage-suspension,112,hr,3992,Yea
passage-suspension,112,hr,5912,Yea
passage,112,hres,539,Yea
passage-suspension,112,hr,1038,Yea
passage-suspension,112,hr,4105,Yea
passage-suspension,112,hr,3248,Yea
passage-suspension,112,hr,3247,Yea
passage-suspension,112,hr,2682,Yea
passage-suspension,112,s,3245,Yea
passage,112,hres,779,Yea
passage,112,hjres,118,Yea
passage-suspension,112,hr,519,Yea
passage-suspension,112,hr,2417,Yea
passage-suspension,112,hr,1657,Yea
passage,112,hres,347,Yea
passage-suspension,112,hr,514,Yea
passage-suspension,112,hres,49,Yea
passage,112,hres,115,Yea
passage,112,hres,93,Yea
