Category:,Congress,Bill Type,Bill Number,Vote Position
passage-suspension,110,hr,5517.0,Not Voting
passage,110,hres,1001.0,Yea
passage,110,hres,1084.0,Yea
passage-suspension,110,hres,923.0,Not Voting
passage-suspension,110,hr,3936.0,Yea
passage-suspension,110,hr,2464.0,Yea
passage-suspension,110,hres,1370.0,Yea
passage-suspension,110,hres,986.0,Yea
passage,110,hr,3999.0,Yea
passage-suspension,110,hres,909.0,Yea
passage,110,hres,1253.0,Yea
passage-suspension,110,hconres,318.0,Yea
passage-suspension,110,hres,954.0,Yea
passage,110,hconres,398.0,Yea
passage-suspension,110,hr,1143.0,Yea
passage-suspension,110,hconres,295.0,Yea
passage,110,hr,6599.0,Yea
passage-suspension,110,hr,6074.0,Yea
passage-suspension,110,hres,1008.0,Yea
passage-suspension,110,hconres,390.0,Yea
passage,110,hr,2768.0,Yea
passage-suspension,110,hr,3196.0,Yea
passage-suspension,110,hr,4211.0,Yea
passage-suspension,110,hres,933.0,Yea
passage-suspension,110,hr,5563.0,Yea
passage-suspension,110,hr,2192.0,Yea
passage-suspension,110,hres,1021.0,Yea
passage,110,hr,5140.0,Yea
passage-suspension,110,hres,1063.0,Yea
passage-suspension,110,hr,1311.0,Yea
passage-suspension,110,hr,6028.0,Yea
passage-suspension,110,hconres,281.0,Yea
passage-suspension,110,hconres,138.0,Not Voting
passage,110,hres,1065.0,Yea
passage,110,hr,5501.0,Yea
passage,110,hr,415.0,Yea
passage,110,hres,1218.0,Yea
passage-suspension,110,hr,4454.0,Yea
passage-suspension,110,s,793.0,Yea
passage-suspension,110,hres,1114.0,Not Voting
passage,110,hres,1036.0,Yea
passage-suspension,110,hres,866.0,Yea
passage-suspension,110,hres,537.0,Yea
passage-suspension,110,hr,6889.0,Yea
passage-suspension,110,hr,4986.0,Yea
passage,110,hr,1424.0,Yea
passage-suspension,110,hres,1144.0,Yea
passage-suspension,110,hres,1316.0,Yea
passage-suspension,110,hres,867.0,Yea
passage,110,hconres,355.0,Yea
passage,110,hres,1433.0,Yea
passage-suspension,110,hr,6983.0,Yea
veto-override,110,hr,6124.0,Yea
passage,110,hr,5781.0,Yea
passage,110,hr,6063.0,Yea
passage,110,hres,1175.0,Yea
passage,110,hr,3036.0,Yea
passage-suspension,110,hres,1067.0,Yea
passage-suspension,110,hr,1423.0,Yea
passage-suspension,110,hres,1079.0,Yea
passage-suspension,110,hr,7221.0,Yea
passage,110,hres,1318.0,Yea
passage-suspension,110,hr,6045.0,Yea
passage,110,hres,1317.0,Yea
passage-suspension,110,hconres,297.0,Yea
passage-suspension,110,hr,6331.0,Yea
passage,110,hres,1533.0,Yea
passage,110,hr,7060.0,Yea
passage-suspension,110,s,3197.0,Yea
passage,110,hres,1125.0,Yea
passage-suspension,110,s,3641.0,Yea
passage-suspension,110,hr,3658.0,Yea
passage-suspension,110,hres,1275.0,Yea
passage-suspension,110,hr,6897.0,Yea
passage-suspension,110,hres,952.0,Yea
passage,110,hres,1284.0,Yea
passage,110,hconres,379.0,Yea
passage-suspension,110,hr,6867.0,Yea
passage-suspension,110,hres,1259.0,Yea
passage,110,hres,1502.0,Yea
passage-suspension,110,hres,921.0,Yea
passage-suspension,110,hr,4199.0,Yea
passage-suspension,110,hconres,255.0,Yea
passage-suspension,110,hres,912.0,Yea
passage-suspension,110,hr,4332.0,Yea
passage-suspension,110,hres,1080.0,Yea
passage-suspension,110,hr,831.0,Yea
passage-suspension,110,hr,6707.0,Yea
passage-suspension,110,hr,3546.0,Yea
passage-suspension,110,s,3325.0,Yea
passage-suspension,110,hr,6251.0,Yea
passage-suspension,110,hres,1090.0,Yea
passage,110,hres,1167.0,Yea
passage,110,hr,3195.0,Yea
passage,110,hres,1500.0,Yea
passage-suspension,110,hr,5613.0,Yea
passage,110,hres,1503.0,Yea
passage-suspension,110,hr,5803.0,Yea
passage,110,hr,2176.0,Nay
passage-suspension,110,hres,1029.0,Yea
passage-suspension,110,hr,758.0,Yea
passage,110,hres,1488.0,Yea
passage-suspension,110,hres,1235.0,Yea
passage-suspension,110,hr,6358.0,Yea
passage-suspension,110,hconres,308.0,Yea
passage-suspension,110,hr,6460.0,Yea
passage-suspension,110,hr,6377.0,Yea
passage-suspension,110,hr,5151.0,Yea
passage,110,hres,1298.0,Nay
passage-suspension,110,hr,7081.0,Nay
passage-suspension,110,hr,5715.0,Yea
passage-suspension,110,s,2606.0,Yea
passage-suspension,110,hres,977.0,Yea
passage-suspension,110,hr,5749.0,Yea
passage-suspension,110,s,3001.0,Yea
passage-suspension,110,hres,1133.0,Yea
passage-suspension,110,hr,6604.0,Yea
passage-suspension,110,hconres,283.0,Yea
passage,110,hr,2642.0,Yea
passage,110,hres,956.0,Yea
passage,110,hres,1189.0,Yea
passage-suspension,110,hr,1527.0,Yea
passage-suspension,110,hr,5872.0,Yea
passage-suspension,110,hres,924.0,Yea
passage-suspension,110,hres,937.0,Yea
passage,110,hres,1190.0,Yea
passage,110,hres,1083.0,Yea
passage-suspension,110,hres,978.0,Yea
passage-suspension,110,hr,3058.0,Yea
passage,110,hconres,312.0,Yea
passage-suspension,110,hr,5669.0,Yea
passage,110,hres,1367.0,Yea
passage-suspension,110,hr,2675.0,Yea
passage-suspension,110,hres,886.0,Yea
passage-suspension,110,hres,963.0,Yea
passage-suspension,110,hres,1311.0,Yea
passage-suspension,110,hr,5472.0,Yea
passage-suspension,110,hres,951.0,Yea
passage-suspension,110,hres,1243.0,Yea
passage,110,hres,1214.0,Yea
passage-suspension,110,hres,1202.0,Yea
passage-suspension,110,hres,994.0,Yea
passage,110,hres,1419.0,Yea
passage,110,hres,1388.0,Yea
passage-suspension,110,hr,406.0,Yea
passage-suspension,110,hconres,344.0,Yea
passage-suspension,110,hr,4081.0,Yea
passage-suspension,110,hres,1173.0,Yea
passage,110,hres,1031.0,Yea
passage-suspension,110,s,2617.0,Yea
passage-suspension,110,hr,4848.0,Yea
passage-suspension,110,hr,6445.0,Yea
passage,110,hr,2642.0,Nay
passage-suspension,110,hres,1225.0,Yea
passage-suspension,110,hr,3548.0,Yea
passage-suspension,110,hres,966.0,Yea
passage-suspension,110,hconres,302.0,Yea
passage-suspension,110,hr,6493.0,Yea
passage-suspension,110,hr,5489.0,Yea
passage-suspension,110,hconres,278.0,Yea
passage-suspension,110,hres,790.0,Yea
passage-suspension,110,hr,1343.0,Yea
passage,110,hr,5540.0,Yea
passage-suspension,110,hres,972.0,Yea
passage-suspension,110,hres,917.0,Yea
passage,110,hres,1233.0,Yea
passage,110,hres,1344.0,Yea
passage-suspension,110,hr,3352.0,Yea
passage-suspension,110,hr,6081.0,Yea
passage-suspension,110,s,2403.0,Yea
passage-suspension,110,s,2135.0,Yea
veto-override,110,hr,3963.0,Yea
passage,110,hconres,316.0,Yea
passage-suspension,110,hr,6022.0,Yea
passage-suspension,110,hr,5140.0,Yea
passage-suspension,110,hr,6124.0,Yea
passage-suspension,110,s,2272.0,Yea
passage-suspension,110,hjres,70.0,Yea
passage-suspension,110,hres,944.0,Yea
passage,110,hres,1107.0,Yea
passage-suspension,110,hres,1077.0,Yea
passage-suspension,110,hres,1194.0,Yea
passage,110,hr,4137.0,Yea
passage-suspension,110,hconres,336.0,Yea
passage-suspension,110,hr,2490.0,Yea
passage-suspension,110,hconres,310.0,Yea
passage-suspension,110,hres,1296.0,Yea
passage,110,hres,1212.0,Yea
passage-suspension,110,hr,4140.0,Yea
passage,110,hres,1384.0,Yea
passage-suspension,110,hres,1181.0,Yea
passage-suspension,110,s,2733.0,Yea
passage-suspension,110,s,2837.0,Yea
