Category:,Congress,Bill Type,Bill Number,Vote Position
passage-suspension,107,hr,3275,Yea
passage,107,hres,319,Yea
passage,107,hr,3529,Yea
passage,107,hres,320,Yea
passage-suspension,107,hr,3054,Not Voting
passage-suspension,107,hres,298,Yea
passage,107,hr,3295,Yea
passage-suspension,107,hconres,280,Yea
passage-suspension,107,hconres,232,Yea
passage,107,hres,311,Yea
passage-suspension,107,hconres,242,Not Voting
passage-suspension,107,hr,3391,Yea
passage-suspension,107,hr,3448,Yea
passage,107,hr,1022,Yea
passage-suspension,107,hr,3323,Yea
passage-suspension,107,s,494,Yea
passage,107,hr,2506,Yea
passage,107,hr,3061,Yea
passage,107,hres,305,Yea
passage,107,hr,2944,Nay
passage-suspension,107,hr,10,Yea
passage-suspension,107,hconres,102,Yea
passage-suspension,107,hr,3129,Yea
passage,107,hres,306,Yea
passage-suspension,107,hr,3348,Yea
passage-suspension,107,hr,3282,Yea
passage-suspension,107,hconres,281,Yea
passage-suspension,107,hr,3008,Yea
passage-suspension,107,hr,3379,Not Voting
passage-suspension,107,hconres,282,Yea
passage,107,s,1438,Yea
passage-suspension,107,hr,3209,Yea
passage,107,hr,2299,Yea
passage,107,hr,3338,Yea
passage-suspension,107,hres,424,Yea
passage-suspension,107,hres,377,Yea
passage,107,hres,507,Yea
passage,107,hres,419,Yea
passage-suspension,107,hres,371,Yea
passage-suspension,107,hr,4547,Yea
passage-suspension,107,hconres,312,Yea
passage-suspension,107,hconres,395,Yea
passage-suspension,107,hr,3525,Yea
passage-suspension,107,hr,4866,Yea
passage,107,hres,350,Yea
passage-suspension,107,hr,4946,Yea
passage,107,hres,420,Yea
passage-suspension,107,hr,3717,Yea
passage,107,hres,509,Yea
passage,107,hres,483,Yea
passage-suspension,107,hjres,82,Yea
passage-suspension,107,hr,3609,Yea
passage-suspension,107,hr,3699,Yea
passage,107,hres,546,Yea
passage-suspension,107,hconres,476,Yea
passage,107,hr,5011,Yea
passage,107,hr,4600,Yea
passage-suspension,107,hr,4609,Yea
passage-suspension,107,hr,2643,Yea
passage-suspension,107,hres,538,Yea
passage,107,hr,5010,Yea
passage,107,hres,553,Yea
passage-suspension,107,hr,700,Yea
passage,107,hres,602,Yea
passage,107,hres,600,Yea
passage-suspension,107,hres,335,Yea
passage-suspension,107,hr,5531,Yea
passage-suspension,107,hres,468,Yea
passage-suspension,107,hconres,424,Yea
passage,107,hres,462,Yea
passage-suspension,107,hr,3937,Yea
passage,107,hres,447,Yea
passage-suspension,107,hr,2357,Yea
passage-suspension,107,s,2690,Yea
passage-suspension,107,hr,3340,Yea
passage-suspension,107,hconres,213,Yea
passage,107,s,1762,Yea
passage-suspension,107,hr,2234,Yea
passage,107,hjres,96,Yea
passage-suspension,107,hr,4823,Yea
passage-suspension,107,hr,5557,Yea
passage,107,hres,579,Yea
passage-suspension,107,hconres,415,Yea
passage,107,hr,5011,Yea
passage-suspension,107,hr,3764,Yea
passage-suspension,107,hr,3482,Yea
passage-suspension,107,hconres,337,Yea
passage-suspension,107,hr,4858,Yea
passage-suspension,107,hr,3479,Yea
passage-suspension,107,hconres,301,Yea
passage-suspension,107,s,1533,Yea
passage,107,hres,580,Yea
passage,107,hr,3389,Yea
passage-suspension,107,hr,4800,Yea
passage,107,hr,5010,Yea
passage,107,hr,4775,Yea
passage-suspension,107,hr,3580,Yea
passage-suspension,107,hr,5118,Yea
passage-suspension,107,hjres,95,Yea
passage-suspension,107,hconres,472,Yea
passage-suspension,107,hr,4679,Yea
passage-suspension,107,hr,4755,Yea
passage,107,hres,450,Yea
passage,107,hjres,101,Nay
passage,107,hr,2646,Yea
passage-suspension,107,hr,3479,Yea
passage,107,hr,5093,Yea
passage-suspension,107,hres,94,Yea
passage,107,hres,521,Yea
passage,107,hr,4727,Yea
passage-suspension,107,hr,4514,Yea
passage-suspension,107,hr,2509,Yea
passage-suspension,107,hr,4626,Yea
passage-suspension,107,hr,1374,Yea
passage-suspension,107,hr,4102,Yea
passage-suspension,107,hr,4156,Yea
passage-suspension,107,hr,4015,Yea
passage,107,hr,5121,Yea
passage,107,hres,489,Yea
passage,107,hr,4775,Yea
passage-suspension,107,hconres,435,Yea
passage-suspension,107,hr,4085,Yea
passage-suspension,107,hconres,314,Yea
passage-suspension,107,hr,4167,Yea
passage-suspension,107,hconres,188,Yea
passage-suspension,107,hr,3375,Yea
passage-suspension,107,hres,368,Yea
passage-suspension,107,hr,3287,Yea
passage-suspension,107,sjres,32,Yea
passage-suspension,107,hr,2804,Yea
passage-suspension,107,hconres,405,Yea
passage-suspension,107,hres,513,Yea
passage-suspension,107,hr,5157,Yea
passage,107,hr,3394,Yea
passage-suspension,107,hr,3839,Yea
passage-suspension,107,hres,482,Yea
passage-suspension,107,hr,3991,Yea
passage,107,hr,3924,Yea
passage-suspension,107,hr,3958,Yea
passage-suspension,107,hr,3694,Yea
passage-suspension,107,hconres,304,Yea
passage,107,hres,528,Yea
passage-suspension,107,hconres,305,Yea
passage,107,hjres,87,Yea
passage-suspension,107,hres,452,Yea
passage-suspension,107,hr,2998,Yea
passage,107,hres,343,Yea
passage-suspension,107,hr,5333,Yea
passage,107,hconres,353,Yea
passage,107,hres,372,Yea
passage-suspension,107,hres,339,Yea
passage,107,hres,428,Yea
passage-suspension,107,hres,363,Yea
passage-suspension,107,hr,4069,Yea
passage-suspension,107,hres,523,Yea
passage-suspension,107,hjres,113,Yea
passage-suspension,107,hres,438,Yea
passage-suspension,107,hr,577,Yea
passage,107,hres,606,Nay
passage-suspension,107,hres,549,Yea
passage,107,hres,435,Yea
passage,107,hres,540,Yea
passage,107,hres,451,Yea
passage-suspension,107,hres,393,Yea
passage-suspension,107,hr,4125,Yea
passage-suspension,107,hres,459,Yea
passage,107,hr,2215,Yea
passage,107,hres,465,Yea
passage-suspension,107,s,1888,Yea
passage,107,s,1372,Yea
passage-suspension,107,hr,5422,Yea
passage,107,hres,440,Yea
passage-suspension,107,hr,5542,Yea
passage,107,hr,4628,Yea
passage-suspension,107,hconres,394,Yea
passage,107,hr,5710,Yea
passage-suspension,107,s,970,Yea
passage,107,hjres,111,Yea
passage-suspension,107,s,434,Yea
passage-suspension,107,hr,3034,Yea
passage-suspension,107,hr,5063,Yea
passage,107,hres,544,Yea
passage,107,hr,1979,Yea
passage-suspension,107,hr,2982,Yea
passage,107,hr,4687,Yea
passage-suspension,107,hr,4477,Yea
passage,107,hres,543,Yea
passage-suspension,107,hr,3180,Yea
