Category:,Congress,Bill Type,Bill Number,Vote Position
passage-suspension,102,hr,5237.0,Yea
passage,102,hres,425.0,Yea
passage-suspension,102,hr,4276.0,Not Voting
passage,102,hr,5334.0,Yea
passage,102,hres,393.0,Yea
passage,102,hr,3724.0,Yea
passage-suspension,102,s,1699.0,Nay
passage-suspension,102,hr,5475.0,Nay
passage,102,hres,463.0,Yea
passage-suspension,102,hr,3490.0,Yea
passage,102,hres,303.0,Yea
passage-suspension,102,hr,2152.0,Yea
passage,102,hres,462.0,Yea
passage-suspension,102,hjres,414.0,Yea
passage-suspension,102,hconres,320.0,Yea
passage,102,hres,474.0,Yea
passage,102,hres,432.0,Yea
passage,102,hres,396.0,Yea
passage,102,hr,5191.0,Yea
passage-suspension,102,hres,433.0,Yea
passage,102,hres,430.0,Yea
passage,102,hr,3337.0,Not Voting
passage-suspension,102,hconres,239.0,Yea
passage-suspension,102,hr,4113.0,Yea
passage,102,hr,4990.0,Yea
passage,102,hconres,287.0,Yea
passage-suspension,102,hr,3337.0,Nay
passage,102,hres,513.0,Yea
passage-suspension,102,hr,5419.0,Yea
passage-suspension,102,hconres,268.0,Yea
passage,102,hres,602.0,Yea
passage,102,hres,603.0,Yea
passage-suspension,102,hr,3281.0,Yea
passage,102,hjres,502.0,Yea
passage-suspension,102,hr,3562.0,Yea
passage,102,hr,3247.0,Yea
passage-suspension,102,s,2681.0,Yea
passage-suspension,102,hr,4095.0,Yea
passage,102,hr,776.0,Yea
passage-suspension,102,hr,1989.0,Yea
passage-suspension,102,hr,6179.0,Yea
passage,102,hr,5055.0,Yea
passage,102,hres,587.0,Yea
passage,102,hjres,517.0,Nay
passage-suspension,102,s,2481.0,Yea
passage,102,hres,501.0,Yea
passage,102,s,3144.0,Yea
passage,102,hr,5679.0,Nay
passage,102,hres,505.0,Yea
passage,102,s,1306.0,Yea
passage-suspension,102,hr,2164.0,Nay
passage,102,hr,5006.0,Nay
passage,102,hr,5677.0,Yea
passage,102,hr,5132.0,Yea
passage,102,hres,479.0,Yea
passage,102,hr,5679.0,Yea
passage-suspension,102,hr,450.0,Yea
passage-suspension,102,hr,5645.0,Nay
passage,102,hr,5260.0,Yea
passage,102,hr,4547.0,Nay
passage,102,hres,466.0,Yea
passage-suspension,102,hr,3209.0,Yea
passage,102,hr,4484.0,Yea
passage,102,hres,412.0,Nay
passage,102,hres,429.0,Yea
passage,102,hres,560.0,Yea
passage,102,hres,442.0,Yea
passage,102,hr,5620.0,Yea
passage,102,hr,4312.0,Yea
passage,102,hr,4111.0,Yea
passage-suspension,102,hr,2321.0,Yea
passage,102,hr,5132.0,Yea
passage-suspension,102,hr,5653.0,Nay
passage,102,hr,3090.0,Yea
passage,102,hres,379.0,Yea
passage,102,hr,5679.0,Not Voting
passage,102,hr,3603.0,Yea
passage,102,hr,5466.0,Yea
passage-suspension,102,hr,5021.0,Yea
passage,102,hr,2507.0,Yea
passage,102,s,323.0,Yea
passage,102,hres,258.0,Yea
passage-suspension,102,s,606.0,Yea
passage,102,hres,413.0,Yea
passage,102,hres,485.0,Nay
passage,102,s,12.0,Yea
passage,102,hres,427.0,Yea
passage,102,hr,5678.0,Yea
passage-suspension,102,hr,5534.0,Yea
passage,102,hres,374.0,Yea
passage-suspension,102,hr,543.0,Yea
passage,102,hr,5623.0,Yea
passage,102,s,5.0,Yea
passage,102,hres,571.0,Yea
passage,102,hres,532.0,Nay
passage,102,s,250.0,Yea
passage,102,hres,423.0,Yea
passage,102,hr,5373.0,Nay
passage,102,hr,5488.0,Yea
passage,102,hres,340.0,Yea
passage,102,hr,5334.0,Not Voting
passage,102,hr,11.0,Yea
passage-suspension,102,s,1704.0,Yea
passage,102,hres,601.0,Yea
passage-suspension,102,s,1528.0,Nay
passage,102,hjres,553.0,Yea
passage,102,hres,570.0,Yea
passage-suspension,102,hr,5429.0,Yea
passage-suspension,102,hr,5673.0,Yea
passage,102,hr,5100.0,Yea
passage,102,s,1150.0,Yea
passage-suspension,102,hr,5716.0,Yea
passage,102,hres,604.0,Yea
passage-suspension,102,hr,2548.0,Yea
passage,102,hr,5368.0,Yea
passage-suspension,102,s,3100.0,Yea
passage,102,hr,5678.0,Yea
passage,102,hr,5739.0,Yea
passage-suspension,102,hr,5323.0,Nay
passage-suspension,102,hr,5938.0,Yea
passage,102,hr,5318.0,Yea
passage,102,hr,6056.0,Yea
passage,102,hres,518.0,Yea
passage,102,hr,5487.0,Yea
passage-suspension,102,hr,11.0,Yea
passage,102,s,1696.0,Yea
passage,102,hr,5427.0,Yea
passage,102,s,429.0,Yea
passage,102,hres,579.0,Yea
