Category:,Congress,Bill Type,Bill Number,Vote Position
passage,111,hres,1745,Nay
passage-suspension,111,hconres,323,Yea
passage,111,hr,3082,Nay
passage,111,hr,5281,Not Voting
passage-suspension,111,hres,1540,Yea
passage-suspension,111,s,841,Nay
passage,111,hres,1752,Nay
passage-suspension,111,hres,1717,Yea
passage,111,hres,1756,Nay
passage-suspension,111,hres,1377,Yea
passage-suspension,111,s,3860,Yea
passage-suspension,111,hr,6547,Nay
passage,111,hr,847,Nay
passage,111,hconres,336,Nay
passage-suspension,111,hr,5510,Nay
passage-suspension,111,hr,6469,Yea
passage-suspension,111,hr,6510,Not Voting
passage-suspension,111,hr,6400,Yea
passage-suspension,111,hr,2142,Nay
passage,111,hres,1776,Nay
passage,111,hr,3082,Nay
passage-suspension,111,hres,1642,Yea
passage-suspension,111,hres,1761,Yea
passage-suspension,111,hr,5446,Yea
passage,111,hr,2965,Nay
passage,111,hr,1722,Nay
passage-suspension,111,hres,1428,Yea
passage-suspension,111,hres,771,Yea
passage,111,hres,1736,Nay
passage,111,hr,4783,Nay
passage-suspension,111,hr,6419,Nay
passage,111,hjres,101,Nay
passage-suspension,111,hres,1724,Yea
passage-suspension,111,hr,4994,Yea
passage,111,hres,1755,Nay
passage-suspension,111,s,1405,Not Voting
passage-suspension,111,hres,1264,Yea
passage-suspension,111,s,3447,Yea
passage-suspension,111,s,987,Nay
passage-suspension,111,hr,5987,Nay
passage-suspension,111,hr,6495,Nay
passage-suspension,111,s,3167,Not Voting
passage-suspension,111,hr,4501,Nay
passage-suspension,111,hr,6412,Yea
passage-suspension,111,hr,6205,Yea
passage-suspension,111,hr,6540,Nay
passage,111,hr,2142,Nay
passage-suspension,111,s,3874,Nay
passage-suspension,111,hres,1759,Yea
passage,111,hres,1764,Nay
passage,111,hr,4853,Nay
passage-suspension,111,hr,6523,Yea
passage,111,hres,1771,Nay
passage,111,hr,2751,Nay
passage,111,hr,5116,Nay
passage,111,hres,1742,Nay
passage-suspension,111,hres,1715,Yea
passage-suspension,111,hr,5877,Yea
passage,111,hconres,332,Nay
veto-override,111,hr,3808,Yea
passage-suspension,111,s,3774,Nay
passage-suspension,111,hr,5758,Yea
passage,111,hres,1741,Nay
passage-suspension,112,hr,3477,Yea
passage,112,hr,3630,Yea
passage-suspension,112,hconres,105,Yea
passage-suspension,112,hr,3803,Yea
passage,112,hres,540,Not Voting
passage-suspension,112,s,679,Nay
passage,112,hr,436,Yea
passage-suspension,112,hr,4040,Not Voting
passage-suspension,112,hconres,118,Yea
passage,112,hr,2842,Yea
passage-suspension,112,hr,6429,Yea
passage-suspension,112,hr,1022,Nay
passage-suspension,112,hr,3835,Yea
passage-suspension,112,hconres,127,Yea
passage-suspension,112,hr,3001,Not Voting
passage-suspension,112,hr,347,Yea
passage-suspension,112,hconres,117,Yea
passage-suspension,112,hr,828,Yea
passage,112,hr,4089,Yea
passage-suspension,112,s,2039,Nay
passage,112,hres,563,Yea
passage-suspension,112,hr,3567,Yea
passage,112,hr,5854,Yea
passage-suspension,112,hr,5987,Nay
passage-suspension,112,hr,3801,Yea
passage-suspension,112,hr,4264,Yea
passage,112,hres,827,Yea
passage,112,hr,6429,Yea
passage-suspension,112,hr,6582,Yea
passage,112,hres,841,Yea
passage-suspension,112,hr,2072,Nay
passage-suspension,112,hr,3117,Yea
passage-suspension,112,hr,6443,Yea
passage-suspension,112,hr,3159,Yea
passage,112,hres,717,Yea
passage,112,hr,5326,Not Voting
passage,112,hr,5652,Not Voting
passage-suspension,112,hr,6190,Yea
passage-suspension,112,s,925,Yea
passage,112,hres,706,Yea
passage-suspension,112,hr,3197,Yea
passage,112,hjres,98,Yea
passage-suspension,112,hr,4133,Yea
passage,112,hr,4348,Yea
passage-suspension,112,hr,6018,Nay
passage-suspension,112,s,3454,Yea
passage-suspension,112,hr,6726,Yea
passage-suspension,112,hr,915,Yea
passage-suspension,112,hr,5740,Yea
passage-suspension,112,hr,3783,Yea
passage,112,hr,6156,Yea
passage-suspension,112,s,3564,Yea
passage-suspension,112,hr,6364,Yea
passage-suspension,112,hr,6612,Yea
passage,112,hres,726,Yea
passage,112,hres,724,Yea
passage,112,hr,5972,Nay
passage-suspension,112,hr,3541,Yea
passage-suspension,112,hr,5997,Yea
passage-suspension,112,hr,205,Yea
passage-suspension,112,hr,6655,Nay
passage-suspension,112,hr,6621,Yea
passage,112,hres,656,Yea
passage-suspension,112,hr,6016,Yea
passage-suspension,112,hr,2453,Not Voting
passage,112,hres,537,Yea
passage,112,hr,658,Nay
