Category:,Congress,Bill Type,Bill Number,Vote Position
passage,117,hres,1508.0,Yea
passage,117,hr,9640.0,Yea
passage,117,hr,1948.0,Yea
passage-suspension,117,s,3168.0,Yea
passage-suspension,117,s,3499.0,Yea
passage-suspension,117,hr,1917.0,Yea
passage-suspension,117,s,2796.0,Yea
passage,117,hres,1529.0,Yea
passage-suspension,117,s,3875.0,Yea
passage-suspension,117,s,3308.0,Yea
passage,117,hr,8876.0,Yea
passage-suspension,117,hr,5774.0,Yea
passage-suspension,117,s,4785.0,Yea
passage-suspension,117,,,Yea
passage-suspension,117,s,4003.0,Yea
passage-suspension,117,hr,8463.0,Yea
passage,117,hres,1404.0,Yea
passage-suspension,117,,,Yea
passage-suspension,117,hr,5455.0,Yea
passage-suspension,117,,,Yea
passage-suspension,117,s,2490.0,Yea
passage-suspension,117,hr,884.0,Yea
passage-suspension,117,s,2293.0,Yea
passage,117,hres,1499.0,Yea
passage,117,hres,1361.0,Yea
passage,117,s,4524.0,Yea
passage-suspension,117,,,Yea
passage-suspension,117,s,3846.0,Yea
passage,117,hr,6448.0,Yea
passage,117,hres,1396.0,Yea
passage-suspension,117,hr,8888.0,Yea
passage-suspension,117,hr,4785.0,Yea
passage,117,hr,3843.0,Yea
passage-suspension,117,hr,7321.0,Yea
passage,117,hr,6878.0,Yea
passage,117,hr,3372.0,Yea
passage-suspension,117,hr,6965.0,Yea
passage,117,hr,7780.0,Yea
passage-suspension,117,s,4900.0,Yea
passage-suspension,117,,,Yea
passage-suspension,117,hr,3482.0,Yea
passage-suspension,117,s,3662.0,Yea
passage,117,hres,1377.0,Yea
passage,117,hr,8326.0,Yea
passage,117,hr,302.0,Yea
passage,117,s,1942.0,Yea
passage,117,hres,1531.0,Yea
passage,117,hr,2617.0,Yea
passage-suspension,117,,,Yea
passage,117,s,4003.0,Yea
passage,117,hr,8404.0,Yea
passage-suspension,117,hr,7939.0,Yea
passage-suspension,117,s,3773.0,Yea
passage,117,hres,1510.0,Yea
passage,117,s,3905.0,Yea
passage,117,hr,1437.0,Yea
passage-suspension,117,s,4052.0,Yea
passage-suspension,117,s,4926.0,Yea
passage-suspension,117,s,5168.0,Yea
passage-suspension,117,s,2333.0,Yea
passage-suspension,117,s,2834.0,Yea
passage,117,hr,7946.0,Yea
passage-suspension,117,,,Yea
passage,117,hr,8873.0,Yea
passage,117,hr,6833.0,Yea
passage-suspension,117,s,3369.0,Yea
passage-suspension,117,hr,3630.0,Yea
passage-suspension,117,hr,8446.0,Yea
passage-suspension,117,hr,5441.0,Yea
passage-suspension,117,hr,1456.0,Yea
passage,117,hres,1339.0,Yea
passage-suspension,117,hr,5315.0,Yea
passage,117,hres,1464.0,Yea
passage,117,hres,1372.0,Yea
passage-suspension,117,s,2794.0,Yea
passage-suspension,117,hr,2250.0,Yea
passage,117,s,1098.0,Yea
passage-suspension,117,s,4359.0,Yea
passage,117,hr,8987.0,Yea
passage-suspension,117,hr,1066.0,Yea
passage,117,hr,2988.0,Yea
passage-suspension,117,s,442.0,Yea
passage-suspension,117,s,3157.0,Yea
passage,117,hr,8542.0,Yea
passage-suspension,117,s,3115.0,Yea
passage-suspension,117,s,2551.0,Yea
passage,117,hjres,100.0,Yea
passage-suspension,117,hr,2521.0,Yea
passage-suspension,117,s,3470.0,Yea
passage-suspension,117,s,3895.0,Yea
passage-suspension,117,hr,8466.0,Yea
passage-suspension,117,,,Yea
passage,117,hconres,119.0,Yea
passage-suspension,117,s,958.0,Yea
passage,117,hr,4118.0,Yea
passage-suspension,117,s,231.0,Yea
passage,117,hr,5768.0,Yea
passage-suspension,117,hr,7535.0,Yea
passage-suspension,117,s,5230.0,Yea
passage,117,hres,1518.0,Yea
passage-suspension,117,s,1617.0,Yea
passage-suspension,117,s,4834.0,Yea
passage-suspension,117,s,989.0,Yea
passage-suspension,117,s,5087.0,Yea
passage,117,hr,8393.0,Yea
passage-suspension,117,hres,1512.0,Yea
passage-suspension,117,s,1466.0,Yea
passage,117,hres,1519.0,Yea
passage-suspension,117,s,4104.0,Yea
passage-suspension,117,s,1402.0,Yea
passage,118,hr,2925.0,Nay
passage-suspension,118,hr,7521.0,Yea
passage-suspension,118,s,546.0,Yea
passage-suspension,118,hr,4755.0,Yea
passage-suspension,118,hres,966.0,Yea
passage-suspension,118,hr,4866.0,Yea
passage-suspension,118,hres,149.0,Yea
passage,118,hr,6679.0,Yea
passage,118,hr,4691.0,Yea
passage,118,hr,6918.0,Nay
passage,118,hr,8771.0,Nay
passage,118,hjres,98.0,Nay
passage-suspension,118,hr,3250.0,Yea
passage,118,hr,6914.0,Nay
passage,118,hr,4639.0,Nay
passage-suspension,118,s,3427.0,Yea
passage-suspension,118,hr,5826.0,Yea
passage,118,hr,8034.0,Yea
passage,118,hr,529.0,Yea
passage-suspension,118,hr,7659.0,Yea
passage-suspension,118,hr,4723.0,Yea
passage-suspension,118,hr,886.0,Yea
passage-suspension,118,hr,6603.0,Yea
passage-suspension,118,hr,5528.0,Yea
passage,118,hr,6678.0,Yea
passage,118,hr,6046.0,Yea
passage,118,hres,969.0,Nay
passage,118,hr,8752.0,Nay
passage,118,hr,5947.0,Yea
passage-suspension,118,hr,2754.0,Yea
passage-suspension,118,s,2051.0,Yea
