Category:,Congress,Bill Type,Bill Number,Vote Position
passage,104,hres,156,Yea
passage,104,hr,117,Yea
passage-suspension,104,s,1322,Yea
passage,104,hr,889,Yea
passage,104,hr,1561,Not Voting
passage,104,sconres,31,Yea
passage,104,hr,1833,Yea
passage-suspension,104,hconres,53,Yea
passage,104,hres,38,Yea
passage-suspension,104,hjres,111,Yea
passage,104,hr,2058,Yea
passage,104,hr,9,Yea
passage,104,hr,925,Yea
passage,104,hr,2002,Yea
passage,104,hr,1976,Yea
passage-suspension,104,hjres,110,Yea
passage,104,hres,135,Yea
passage-suspension,104,hjres,112,Yea
passage,104,hres,252,Yea
passage-suspension,104,s,2,Yea
passage-suspension,104,hconres,117,Yea
passage,104,hr,1854,Yea
veto-override,104,hr,1058,Yea
passage-suspension,104,hr,1240,Yea
passage-suspension,104,hr,2677,Yea
passage,104,hres,125,Yea
passage,104,hr,2076,Yea
passage,104,hr,2491,Yea
passage,104,hres,5,Yea
passage,104,hjres,102,Nay
passage,104,hr,2525,Yea
passage-suspension,104,hr,2418,Yea
passage,104,hres,296,Yea
passage,104,hr,2519,Yea
passage,104,hr,2274,Yea
passage,104,hres,273,Yea
passage,104,hr,2126,Yea
passage-suspension,104,hr,1804,Yea
passage,104,hres,222,Yea
passage,104,hr,1905,Yea
passage,104,hres,107,Yea
passage,104,hres,290,Yea
passage,104,hr,483,Yea
passage-suspension,104,hr,694,Yea
passage,104,hres,270,Yea
passage,104,hconres,67,Yea
passage,104,hr,1977,Yea
passage,104,hres,205,Yea
passage,104,hr,889,Yea
passage,104,hr,1530,Yea
passage,104,s,21,Yea
passage,104,hres,130,Yea
passage-suspension,104,hr,531,Yea
passage,104,hr,1058,Yea
passage-suspension,104,hr,2150,Yea
passage,104,hres,105,Yea
passage,104,hr,2126,Yea
passage-suspension,104,hr,402,Yea
passage,104,hres,179,Yea
passage-suspension,104,hr,2684,Yea
passage,104,s,244,Yea
passage,104,s,1,Yea
passage,104,hres,307,Yea
passage,104,hres,119,Yea
passage,104,hr,1854,Yea
passage,104,hres,301,Yea
passage,104,hr,2099,Yea
passage,104,hr,660,Yea
passage,104,hres,304,Yea
passage,104,s,395,Yea
passage,104,hres,140,Yea
passage,104,hr,2076,Yea
passage,104,hr,2491,Yea
passage,104,hres,192,Yea
passage,104,hconres,67,Yea
passage-suspension,104,hres,247,Yea
passage,104,hr,2002,Yea
passage-suspension,104,hr,657,Yea
passage,104,hres,257,Yea
passage,104,hr,39,Yea
passage-suspension,104,hr,2353,Yea
passage,104,hr,1977,Yea
passage,104,hres,88,Yea
passage,104,hr,1361,Yea
passage,104,hr,1868,Yea
passage,104,hr,2546,Yea
passage,104,hr,2020,Yea
passage,104,hr,1976,Yea
passage,104,hres,93,Yea
passage,104,hconres,17,Yea
passage,104,hr,2020,Yea
passage,104,hres,267,Yea
passage,104,hres,83,Yea
passage-suspension,104,hjres,69,Yea
passage,104,hres,253,Yea
passage,104,hr,961,Yea
passage,104,hr,1,Yea
passage-suspension,104,hr,1590,Yea
passage,104,hres,251,Yea
passage,104,hr,2126,Nay
passage,104,hres,92,Yea
passage,104,hr,2425,Yea
passage,104,hr,400,Yea
passage,104,hres,183,Yea
passage,104,hr,1868,Yea
passage,104,hr,2491,Yea
passage,104,hres,225,Yea
passage,104,hres,224,Yea
passage-suspension,104,hjres,123,Yea
passage,104,hres,226,Yea
passage,104,hr,2127,Yea
passage,104,hjres,134,Yea
passage,104,hres,291,Yea
passage,104,hres,208,Yea
passage-suspension,104,hr,716,Yea
passage-suspension,104,hr,2243,Yea
passage,104,hr,1817,Yea
passage,104,hr,2564,Yea
passage,104,hres,272,Yea
passage-suspension,104,hres,120,Yea
