Category:,Congress,Bill Type,Bill Number,Vote Position
passage-suspension,119,hr,43,Yea
passage,119,hr,30,Nay
passage-suspension,119,hr,153,Yea
passage-suspension,119,hr,187,Yea
passage,119,hr,35,Nay
passage-suspension,119,hr,186,Yea
passage,119,hr,21,Nay
passage-suspension,119,hr,776,Yea
passage,119,hres,5,Nay
passage,119,hr,27,Nay
passage,119,hr,26,Nay
passage-suspension,119,hr,164,Yea
passage-suspension,119,hr,144,Not Voting
passage-suspension,119,hr,165,Yea
passage,119,hr,471,Yea
passage-suspension,119,hr,375,Yea
passage,119,s,5,Nay
passage,119,hr,33,Yea
passage,119,hr,28,Nay
passage,119,hr,77,Nay
passage,119,hr,29,Nay
passage-suspension,119,hr,192,Yea
passage-suspension,119,hr,152,Yea
passage,119,hr,23,Nay
passage-suspension,119,hr,736,Yea
passage-suspension,119,hr,692,Yea
