Category:,Congress,Bill Type,Bill Number,Vote Position
passage-suspension,117,hr,3197.0,Yea
passage-suspension,117,hr,203.0,Yea
passage,117,hr,963.0,Yea
passage-suspension,117,hr,700.0,Yea
passage,117,hres,1508.0,Yea
passage-suspension,117,hr,2954.0,Yea
passage-suspension,117,hr,6899.0,Yea
passage,117,hr,7900.0,Yea
passage-suspension,117,hr,5001.0,Yea
passage-suspension,117,hr,6871.0,Yea
passage,117,hr,9640.0,Yea
passage-suspension,117,hr,1437.0,Yea
passage,117,hres,1232.0,Yea
passage,117,hr,1948.0,Yea
passage-suspension,117,hr,3539.0,Yea
passage-suspension,117,hr,8454.0,Yea
passage,117,hres,1256.0,Yea
passage,117,hr,3485.0,Yea
passage-suspension,117,s,3168.0,Yea
passage-suspension,117,hr,7077.0,Yea
passage-suspension,117,s,3527.0,Yea
passage-suspension,117,hr,3359.0,Yea
passage-suspension,117,s,3499.0,Yea
passage-suspension,117,s,812.0,Yea
passage,117,hres,900.0,Yea
passage,117,hr,3617.0,Yea
passage-suspension,117,s,2959.0,Yea
passage-suspension,117,hr,1916.0,Yea
passage,117,hres,1224.0,Yea
passage-suspension,117,hr,6089.0,Yea
passage-suspension,117,hr,923.0,Yea
passage-suspension,117,hr,1917.0,Yea
passage-suspension,117,s,66.0,Yea
passage,117,hr,8296.0,Yea
passage-suspension,117,hr,4738.0,Yea
passage-suspension,117,s,2796.0,Yea
passage-suspension,117,s,1760.0,Yea
passage-suspension,117,hr,7734.0,Yea
passage-suspension,117,hr,2842.0,Yea
passage-suspension,117,s,1872.0,Yea
passage,117,hres,1529.0,Yea
passage-suspension,117,hr,5659.0,Yea
passage-suspension,117,hr,6868.0,Yea
passage-suspension,117,s,3875.0,Yea
passage-suspension,117,hr,1934.0,Yea
passage-suspension,117,s,2629.0,Yea
passage-suspension,117,hr,6531.0,Yea
passage-suspension,117,s,3308.0,Yea
passage-suspension,117,hr,224.0,Yea
passage-suspension,117,hr,7337.0,Yea
passage,117,hr,8876.0,Yea
passage,117,hres,979.0,Yea
passage-suspension,117,hr,5271.0,Yea
passage-suspension,117,hr,6930.0,Yea
passage-suspension,117,hr,5657.0,Yea
passage-suspension,117,hr,4693.0,Yea
passage-suspension,117,hr,7174.0,Yea
passage-suspension,117,s,452.0,Yea
passage-suspension,117,hr,7352.0,Yea
passage,117,hr,1808.0,Yea
passage-suspension,117,s,3451.0,Nay
passage-suspension,117,hr,5774.0,Yea
passage,117,hr,7606.0,Yea
passage-suspension,117,s,4785.0,Yea
passage-suspension,117,hr,5879.0,Yea
passage-suspension,117,,,Yea
passage,117,hres,1316.0,Yea
passage-suspension,117,s,4003.0,Yea
passage-suspension,117,hr,8463.0,Yea
passage-suspension,117,hr,2724.0,Yea
passage-suspension,117,hr,6943.0,Yea
passage,117,hres,1404.0,Yea
passage-suspension,117,,,Yea
passage-suspension,117,hr,5455.0,Yea
passage-suspension,117,,,Yea
passage-suspension,117,hr,7335.0,Yea
passage,117,s,2938.0,Yea
passage-suspension,117,s,2490.0,Yea
passage-suspension,117,hr,884.0,Yea
passage,117,hr,5376.0,Yea
passage-suspension,117,hr,7622.0,Yea
passage-suspension,117,hr,7283.0,Yea
passage-suspension,117,s,2293.0,Yea
passage-suspension,117,hr,7334.0,Yea
passage-suspension,117,hr,7777.0,Yea
passage-suspension,117,hres,1125.0,Yea
passage,117,hres,1499.0,Yea
passage,117,hres,1361.0,Yea
passage-suspension,117,hr,5738.0,Yea
passage,117,s,4524.0,Yea
passage-suspension,117,hr,2992.0,Yea
passage-suspension,117,,,Yea
passage-suspension,117,s,4089.0,Yea
passage-suspension,117,s,3846.0,Yea
passage-suspension,117,hr,7153.0,Yea
passage,117,hr,6448.0,Yea
passage,117,hres,1396.0,Yea
passage-suspension,117,s,2514.0,Yea
passage-suspension,117,hr,8888.0,Yea
passage-suspension,117,hr,4785.0,Yea
passage,117,hres,1153.0,Yea
passage,117,hr,3843.0,Yea
passage,117,hres,1124.0,Yea
passage-suspension,117,hr,7321.0,Yea
passage,117,hr,6878.0,Yea
passage-suspension,117,hr,5407.0,Yea
passage,117,hr,4176.0,Yea
passage-suspension,117,hr,7667.0,Yea
passage,117,hres,1204.0,Yea
passage-suspension,117,hr,7776.0,Yea
passage,117,hr,3372.0,Yea
passage-suspension,117,hr,6965.0,Yea
passage,117,hr,7780.0,Yea
passage-suspension,117,s,4900.0,Yea
passage-suspension,117,,,Yea
passage-suspension,117,hr,3482.0,Yea
passage-suspension,117,hr,7500.0,Yea
passage-suspension,117,s,3662.0,Yea
passage-suspension,117,hr,6376.0,Yea
passage,117,hres,1377.0,Yea
passage,117,s,2938.0,Yea
passage-suspension,117,hr,7694.0,Yea
passage,117,hr,4346.0,Yea
passage,117,hres,1289.0,Yea
passage,117,hr,2377.0,Yea
passage,117,hr,8326.0,Yea
passage-suspension,117,s,2089.0,Yea
passage,117,hr,302.0,Yea
passage-suspension,117,hr,7108.0,Yea
passage,117,s,1942.0,Yea
passage-suspension,117,s,583.0,Yea
passage,117,hr,4445.0,Yea
passage,117,hres,1531.0,Yea
passage,117,hr,3807.0,Yea
passage-suspension,117,hres,831.0,Yea
passage-suspension,117,hr,4476.0,Yea
passage,117,hr,2617.0,Yea
passage-suspension,117,,,Yea
passage-suspension,117,,,Yea
passage-suspension,117,hres,956.0,Yea
passage,117,hres,1254.0,Yea
passage,117,s,3522.0,Yea
passage,117,hr,8404.0,Yea
passage,117,s,4003.0,Yea
passage-suspension,117,hr,5616.0,Yea
passage-suspension,117,hr,6824.0,Yea
passage,117,hr,8404.0,Yea
passage-suspension,117,hr,3508.0,Yea
passage-suspension,117,hr,5343.0,Yea
passage-suspension,117,hr,7289.0,Yea
passage-suspension,117,hr,5547.0,Yea
passage-suspension,117,hr,6825.0,Yea
passage-suspension,117,hr,5681.0,Yea
passage-suspension,117,hr,5689.0,Yea
passage-suspension,117,hr,5641.0,Yea
passage-suspension,117,hr,7939.0,Yea
passage-suspension,117,hr,6968.0,Yea
passage-suspension,117,s,3773.0,Yea
passage-suspension,117,hr,6552.0,Yea
passage-suspension,117,hr,5658.0,Yea
passage-suspension,117,hconres,70.0,Yea
passage-suspension,117,s,2938.0,Yea
passage,117,hr,2499.0,Yea
passage-suspension,117,s,658.0,Yea
passage,117,hres,1510.0,Yea
passage-suspension,117,hr,209.0,Yea
passage-suspension,117,hr,5673.0,Yea
passage,117,hr,5129.0,Yea
passage,117,hr,2471.0,Yea
passage,117,hres,1065.0,Yea
passage,117,s,3905.0,Yea
passage,117,hres,950.0,Yea
passage,117,hr,3967.0,Yea
passage,117,hr,1437.0,Yea
passage-suspension,117,s,144.0,Yea
passage,117,s,3373.0,Yea
passage,117,hr,4673.0,Yea
passage-suspension,117,hres,1168.0,Yea
passage-suspension,117,hres,833.0,Yea
passage-suspension,117,hr,4133.0,Yea
passage,117,hr,6538.0,Yea
passage-suspension,117,s,4052.0,Yea
passage-suspension,117,hres,720.0,Yea
passage-suspension,117,hr,6865.0,Yea
passage-suspension,117,hr,6891.0,Yea
passage-suspension,117,hr,3113.0,Yea
passage-suspension,117,hr,6873.0,Yea
passage-suspension,117,hr,4380.0,Yea
passage,117,hr,2116.0,Yea
passage-suspension,117,hr,5900.0,Yea
passage-suspension,117,hconres,45.0,Yea
passage-suspension,117,hr,7066.0,Yea
passage-suspension,117,hr,2324.0,Yea
passage,117,hr,6929.0,Yea
passage-suspension,117,s,4926.0,Yea
passage-suspension,117,hr,847.0,Yea
passage,117,hr,8297.0,Yea
passage-suspension,117,hr,5914.0,Yea
passage-suspension,117,s,5168.0,Yea
passage-suspension,117,hr,7180.0,Yea
passage-suspension,117,hr,55.0,Yea
passage-suspension,117,hr,7108.0,Yea
passage-suspension,117,hr,5274.0,Yea
passage-suspension,117,hr,7311.0,Yea
passage-suspension,117,hr,3344.0,Yea
passage-suspension,117,hr,521.0,Yea
passage-suspension,117,hr,5577.0,Yea
passage,117,hr,6833.0,Yea
passage-suspension,117,s,321.0,Yea
passage-suspension,117,hr,3588.0,Yea
passage-suspension,117,hr,5911.0,Yea
passage-suspension,117,hres,1130.0,Yea
passage-suspension,117,s,2333.0,Yea
passage-suspension,117,s,2834.0,Yea
passage-suspension,117,hr,8351.0,Yea
passage-suspension,117,hr,5324.0,Yea
passage-suspension,117,hr,735.0,Yea
passage-suspension,117,hres,892.0,Yea
passage-suspension,117,hr,1621.0,Yea
passage-suspension,117,hr,6386.0,Yea
passage,117,hr,7946.0,Yea
passage-suspension,117,hr,6434.0,Yea
passage,117,hr,7309.0,Yea
passage-suspension,117,hr,935.0,Yea
passage-suspension,117,hr,2116.0,Yea
passage,117,hr,6968.0,Yea
passage-suspension,117,s,2520.0,Yea
passage-suspension,117,,,Yea
passage-suspension,117,s,3294.0,Yea
passage-suspension,117,hr,7081.0,Yea
passage-suspension,117,hconres,59.0,Yea
passage,117,hr,8873.0,Yea
passage,117,hr,7790.0,Yea
passage,117,hr,6833.0,Yea
passage-suspension,117,s,3369.0,Yea
passage-suspension,117,hr,7791.0,Yea
passage-suspension,117,hr,3630.0,Yea
passage-suspension,117,hr,8446.0,Yea
passage-suspension,117,s,2533.0,Yea
