Category:,Congress,Bill Type,Bill Number,Vote Position
passage,118,hr,2925,Nay
passage-suspension,118,s,546,Yea
passage,118,hr,8771,Nay
passage-suspension,118,hr,7659,Yea
passage,118,hr,8752,Nay
passage-suspension,118,hr,6543,Yea
passage,118,hres,1316,Nay
passage,118,hr,8146,Nay
passage-suspension,118,hr,3950,Yea
passage-suspension,118,hr,2789,Yea
passage-suspension,118,hr,2964,Yea
passage,118,hr,8580,Nay
passage,118,hr,354,Nay
passage-suspension,118,hr,4581,Yea
passage-suspension,118,hr,3935,Yea
passage-suspension,118,hr,1797,Yea
passage-suspension,118,hr,6960,Yea
passage,118,hr,7530,Nay
passage-suspension,118,hr,4310,Yea
passage-suspension,118,s,138,Yea
passage-suspension,118,hr,3354,Yea
passage,118,hr,6192,Nay
veto-override,118,hjres,98,Nay
passage,118,hr,7700,Nay
passage-suspension,118,hr,7525,Yea
passage,118,hr,8774,Nay
passage-suspension,118,hr,897,Yea
passage,118,hres,1344,Nay
passage-suspension,118,hr,4143,Yea
passage,118,hjres,165,Nay
passage-suspension,118,hr,5441,Yea
veto-override,118,hjres,109,Nay
passage,118,hr,7109,Nay
passage-suspension,118,s,870,Yea
passage,118,hr,8772,Nay
passage-suspension,118,hr,3019,Yea
passage,118,hres,1213,Yea
passage-suspension,118,hr,6571,Yea
passage,118,hr,8282,Nay
passage-suspension,118,hres,901,Yea
passage,118,hr,8369,Nay
passage-suspension,118,hr,6572,Yea
passage-suspension,118,hr,5863,Yea
passage-suspension,118,hr,7152,Yea
passage,118,hr,7581,Yea
passage,118,hr,7343,Nay
passage,118,hres,1292,Nay
passage-suspension,118,hr,6983,Yea
passage-suspension,118,hres,1215,Yea
passage-suspension,118,hr,4510,Yea
passage,118,hres,1210,Nay
passage,118,hjres,109,Nay
passage,118,hr,7637,Nay
passage-suspension,118,hr,8289,Yea
passage-suspension,118,hr,7423,Yea
passage-suspension,119,hr,43,Yea
passage,119,hr,30,Yea
passage-suspension,119,hr,153,Yea
passage-suspension,119,hr,187,Yea
passage,119,hr,35,Yea
passage-suspension,119,hr,186,Yea
passage,119,hr,21,Nay
passage-suspension,119,hr,776,Yea
passage,119,hres,5,Nay
passage,119,hr,27,Yea
passage,119,hr,26,Nay
passage-suspension,119,hr,164,Yea
passage-suspension,119,hr,144,Yea
passage-suspension,119,hr,165,Yea
passage,119,hr,471,Nay
passage-suspension,119,hr,375,Yea
passage,119,s,5,Nay
passage,119,hr,33,Yea
passage,119,hr,28,Nay
passage,119,hr,77,Nay
passage,119,hr,29,Nay
passage-suspension,119,hr,192,Yea
passage-suspension,119,hr,152,Yea
passage,119,hr,23,Nay
passage-suspension,119,hr,736,Yea
passage-suspension,119,hr,692,Yea
