Category:,Congress,Bill Type,Bill Number,Vote Position
passage,113,hr,803,Yea
passage-suspension,113,hr,324,Yea
passage-suspension,113,hjres,72,Yea
passage-suspension,113,hr,1073,Yea
passage,113,hr,45,Yea
passage,113,hr,273,Yea
passage,113,hconres,15,Yea
passage,113,hr,2667,Yea
passage,113,hconres,25,Yea
passage-suspension,113,hjres,70,Yea
passage-suspension,113,hr,756,Yea
passage,113,hres,164,Yea
passage-suspension,113,hr,3205,Yea
passage-suspension,113,hr,507,Yea
passage,113,hres,66,Yea
passage,113,hr,933,Yea
passage-suspension,113,hres,65,Yea
passage,113,hres,300,Yea
passage-suspension,113,hjres,71,Yea
passage-suspension,113,hjres,91,Yea
passage,113,hres,122,Yea
passage-suspension,113,hr,1412,Yea
passage-suspension,113,hr,2611,Yea
passage-suspension,113,hr,2848,Yea
passage-suspension,113,hr,291,Yea
passage-suspension,113,hr,967,Yea
passage-suspension,113,hr,1341,Yea
passage,113,hres,202,Yea
passage-suspension,113,hr,2011,Yea
passage-suspension,113,hr,1163,Yea
passage-suspension,113,hr,253,Yea
passage-suspension,113,hr,3588,Yea
passage-suspension,113,hr,1911,Nay
passage-suspension,113,hr,3095,Yea
passage-suspension,113,hr,634,Yea
passage-suspension,113,hr,251,Yea
passage-suspension,113,hr,255,Yea
passage-suspension,113,hr,850,Yea
passage-suspension,113,hr,3547,Yea
passage,113,hres,266,Yea
passage-suspension,113,hr,862,Not Voting
passage-suspension,113,hr,1157,Yea
passage,113,hres,256,Yea
passage,113,hres,351,Yea
passage,113,hres,352,Yea
passage-suspension,113,hres,441,Yea
passage-suspension,113,hr,2600,Yea
passage-suspension,113,hr,2747,Yea
passage-suspension,113,hr,3092,Yea
passage,113,hres,361,Yea
passage,113,hr,2775,Yea
passage,113,hres,322,Yea
passage-suspension,113,hr,3521,Yea
passage-suspension,113,hr,2449,Yea
passage,113,hres,366,Yea
passage,113,hres,339,Yea
passage-suspension,113,hr,1155,Yea
passage-suspension,113,hr,1896,Yea
passage-suspension,113,hr,1992,Yea
passage-suspension,113,hr,1402,Yea
passage,113,hres,438,Yea
passage-suspension,113,hr,1897,Yea
passage,113,hres,274,Yea
passage,113,hres,178,Yea
passage,113,hjres,79,Yea
passage-suspension,113,hr,360,Yea
passage-suspension,113,hr,2871,Yea
passage,113,hjres,85,Yea
passage-suspension,113,sconres,10,Yea
passage-suspension,113,hr,307,Yea
passage,113,hr,3223,Yea
passage-suspension,113,hr,338,Yea
passage-suspension,113,hr,701,Yea
passage,113,hr,2609,Yea
passage,113,hjres,73,Yea
passage-suspension,113,hr,1206,Yea
passage,113,hjres,99,Yea
passage,113,hres,175,Yea
passage-suspension,113,hr,297,Nay
passage-suspension,113,hr,1765,Yea
passage-suspension,113,s,622,Yea
passage-suspension,113,hr,384,Yea
passage,113,hjres,75,Yea
passage-suspension,113,hr,668,Yea
passage-suspension,113,hr,767,Yea
passage-suspension,113,hr,1542,Yea
passage-suspension,113,hr,1162,Yea
passage,113,hres,288,Yea
passage,113,hr,3080,Yea
passage-suspension,113,hr,882,Yea
passage-suspension,113,hr,185,Yea
passage-suspension,113,hr,1171,Yea
passage,113,hres,368,Yea
passage,113,hr,2642,Yea
passage-suspension,113,hr,258,Yea
passage,113,hres,115,Yea
passage-suspension,113,hr,1344,Yea
passage-suspension,113,hr,2576,Yea
passage,113,hres,367,Yea
passage-suspension,113,hres,77,Yea
passage-suspension,113,hr,267,Yea
passage,113,hr,3273,Yea
passage-suspension,113,hr,667,Yea
passage-suspension,113,hconres,19,Yea
passage-suspension,113,hr,307,Nay
passage,113,hr,2775,Yea
passage-suspension,113,hr,1564,Yea
passage,113,hr,152,Nay
passage-suspension,113,hr,2189,Yea
passage-suspension,113,hr,249,Yea
passage,113,hres,23,Yea
passage,113,hjres,89,Yea
passage,113,hr,2668,Yea
passage,113,hres,215,Yea
passage-suspension,113,hr,1848,Yea
passage-suspension,113,s,1348,Yea
passage-suspension,113,hconres,18,Yea
passage,113,hr,2216,Yea
passage-suspension,113,hr,2844,Yea
passage,113,hres,5,Yea
passage,113,hr,3102,Yea
passage-suspension,113,hres,354,Not Voting
passage-suspension,113,hr,219,Yea
passage,113,hr,2217,Yea
passage-suspension,113,hr,742,Yea
passage,113,hr,2397,Yea
passage-suspension,113,hr,876,Yea
passage-suspension,113,hr,2383,Yea
passage-suspension,113,hr,1204,Yea
passage-suspension,113,hr,1038,Yea
passage-suspension,113,hr,1961,Not Voting
passage-suspension,113,hr,2052,Yea
passage-suspension,113,hr,41,Nay
passage-suspension,113,hr,2719,Yea
passage-suspension,113,hr,1092,Yea
passage-suspension,113,hr,1151,Yea
passage-suspension,113,s,1471,Yea
passage-suspension,113,hr,2319,Yea
passage-suspension,113,s,459,Yea
passage-suspension,113,s,130,Yea
passage,113,hr,3210,Yea
passage,113,hjres,59,Yea
passage-suspension,113,hr,2019,Yea
passage,113,hr,1797,Yea
passage-suspension,113,hr,3212,Yea
passage,113,hr,2879,Yea
passage-suspension,113,hr,1864,Yea
passage-suspension,113,s,793,Yea
passage-suspension,113,hr,2251,Yea
passage-suspension,113,hr,1412,Yea
passage-suspension,113,hr,301,Yea
passage-suspension,113,s,304,Yea
passage,113,hjres,59,Yea
passage-suspension,113,s,256,Yea
passage,113,hres,83,Yea
passage,113,hr,807,Yea
passage-suspension,113,hconres,58,Yea
passage-suspension,113,hr,1580,Yea
passage,113,hjres,77,Yea
passage,113,hres,243,Yea
passage-suspension,113,hr,1035,Nay
passage,113,hres,370,Yea
passage-suspension,113,hr,254,Yea
passage-suspension,113,hr,1067,Yea
passage-suspension,113,hr,2061,Yea
passage-suspension,113,hr,2922,Yea
passage-suspension,113,hr,592,Yea
passage-suspension,113,hr,588,Yea
passage-suspension,113,hr,1033,Nay
passage,113,hres,232,Yea
passage,113,hr,933,Yea
passage,113,hr,678,Yea
passage,113,hr,3230,Yea
passage,113,hres,371,Yea
passage-suspension,113,hconres,44,Yea
passage-suspension,113,hr,180,Yea
passage,113,hres,146,Yea
passage,113,hr,624,Yea
passage,113,hr,527,Yea
passage-suspension,113,hr,272,Yea
passage-suspension,113,hr,1068,Yea
passage,113,hres,378,Yea
passage-suspension,113,hr,225,Nay
passage-suspension,113,hr,5405,Yea
passage-suspension,113,s,476,Yea
passage-suspension,113,hr,2366,Yea
passage,113,hres,661,Yea
passage,113,hr,6,Yea
passage-suspension,113,hr,5739,Yea
passage,113,hres,530,Yea
passage-suspension,113,hr,2860,Yea
passage,113,hr,83,Nay
passage,113,hres,501,Yea
passage-suspension,113,hr,5699,Yea
passage-suspension,113,hr,3060,Yea
passage,113,hr,3547,Nay
passage-suspension,113,s,1000,Yea
passage-suspension,113,hr,3572,Yea
passage-suspension,113,hr,3240,Yea
passage-suspension,113,s,2154,Yea
passage-suspension,113,hr,4263,Yea
passage,113,hres,775,Yea
passage-suspension,113,hr,1233,Yea
passage,113,hres,465,Yea
passage-suspension,113,hr,1813,Yea
passage,113,hr,3811,Yea
passage-suspension,113,hr,5806,Yea
passage-suspension,113,hres,599,Yea
passage-suspension,113,hr,724,Yea
passage-suspension,113,hr,5089,Yea
passage,113,hres,680,Yea
passage,113,hr,5016,Yea
passage,113,hr,5078,Yea
passage,113,hjres,76,Yea
passage-suspension,113,hr,4225,Yea
passage-suspension,113,hr,3628,Yea
passage-suspension,113,hr,3527,Yea
passage,113,hres,575,Yea
passage,113,hr,4935,Yea
passage-suspension,113,hr,3202,Yea
passage,113,hres,567,Yea
passage-suspension,113,hr,3230,Yea
passage-suspension,113,hr,4751,Yea
passage-suspension,113,hr,4450,Nay
passage-suspension,113,hr,4411,Yea
passage,113,hr,4923,Yea
passage-suspension,113,hr,4195,Yea
passage-suspension,113,hr,2678,Yea
passage,113,hres,694,Yea
passage,113,hr,3361,Yea
passage-suspension,113,hr,2548,Nay
passage-suspension,113,hr,863,Yea
passage,113,hres,676,Yea
passage-suspension,113,hr,1022,Nay
passage,113,hr,4745,Yea
passage,113,hr,4719,Yea
passage,113,hres,766,Yea
passage-suspension,113,hr,357,Yea
passage,113,hr,4453,Yea
passage-suspension,113,hr,3474,Yea
passage-suspension,113,hr,4120,Yea
passage-suspension,113,hres,447,Yea
passage-suspension,113,hr,4278,Yea
passage-suspension,113,hr,627,Yea
passage-suspension,113,hr,1944,Yea
passage,113,hr,4,Yea
passage,113,hconres,96,Yea
passage-suspension,113,s,25,Yea
passage-suspension,113,hres,758,Yea
passage-suspension,113,hr,4152,Yea
passage-suspension,113,hr,1791,Yea
passage,113,hres,629,Yea
passage-suspension,113,hr,5769,Yea
passage,113,s,540,Nay
passage-suspension,113,hr,938,Yea
passage,113,hr,2,Yea
passage-suspension,113,hr,4152,Yea
passage-suspension,113,hres,488,Yea
passage,113,hr,4414,Yea
passage-suspension,113,hr,4192,Yea
passage-suspension,113,hr,4681,Yea
passage-suspension,113,s,230,Yea
passage,113,hr,4457,Yea
passage-suspension,113,hr,2274,Yea
passage-suspension,113,hr,1204,Yea
passage,113,hr,4870,Yea
passage,113,hr,3979,Yea
passage,113,hr,4015,Yea
passage-suspension,113,hr,3008,Yea
passage-suspension,113,hr,5462,Yea
passage-suspension,113,hr,3584,Yea
passage-suspension,113,hr,5461,Yea
passage-suspension,113,s,2040,Yea
passage-suspension,113,s,2183,Yea
passage-suspension,113,hr,3438,Yea
passage-suspension,113,s,1044,Yea
passage-suspension,113,hr,2166,Yea
passage,113,hr,5759,Yea
passage,113,s,2244,Yea
passage,113,hr,3362,Yea
passage,113,hres,776,Yea
passage-suspension,113,hr,801,Yea
passage-suspension,113,hr,2719,Yea
passage-suspension,113,hr,1513,Yea
passage-suspension,113,hr,5629,Yea
passage-suspension,113,hr,5050,Yea
passage,113,hr,3590,Yea
passage-suspension,113,s,1603,Yea
passage,113,hr,4487,Yea
passage-suspension,113,hr,4292,Yea
passage-suspension,113,hr,24,Yea
passage,113,hr,3393,Yea
passage-suspension,113,hr,3080,Yea
passage-suspension,113,hr,5019,Yea
passage-suspension,113,hr,2203,Yea
passage,113,hres,644,Yea
passage,113,hr,5230,Yea
passage,113,hr,4438,Yea
passage-suspension,113,hr,5111,Yea
passage-suspension,113,hr,4031,Yea
passage-suspension,113,hr,503,Yea
