Category:,Congress,Bill Type,Bill Number,Vote Position
passage,105,s,936.0,Yea
passage,105,sres,47.0,Yea
passage,105,sjres,22.0,Yea
passage,105,hr,1469.0,Yea
passage,105,hr,5.0,Yea
passage,105,hconres,84.0,Yea
passage,105,s,1061.0,Yea
passage,105,hr,2209.0,Yea
passage,105,hjres,94.0,Yea
passage,105,sres,98.0,Yea
passage,105,hr,2266.0,Yea
passage,105,s,830.0,Yea
passage,105,hr,2107.0,Yea
passage,105,s,1292.0,Yea
passage,105,hr,2014.0,Yea
passage,105,hr,1003.0,Yea
passage,105,s,522.0,Yea
passage,105,sres,109.0,Yea
passage,105,hr,2016.0,Yea
passage,105,sjres,5.0,Yea
passage,105,hr,2014.0,Yea
passage,105,hr,2158.0,Yea
passage,105,s,104.0,Yea
passage,105,s,495.0,Yea
passage,105,sres,55.0,Yea
passage,105,hr,1757.0,Yea
passage,105,sres,39.0,Yea
passage,105,s,1004.0,Yea
passage,105,s,543.0,Yea
passage,105,s,955.0,Yea
passage,105,hconres,84.0,Yea
passage,105,s,1005.0,Yea
passage,105,sjres,18.0,Nay
passage,105,hr,2264.0,Yea
passage,105,hr,2203.0,Yea
passage,105,hr,1119.0,Yea
passage,105,hr,2015.0,Yea
passage,105,s,39.0,Yea
passage,105,hr,2378.0,Nay
passage,105,s,1033.0,Yea
passage,105,s,1022.0,Yea
passage,105,hr,2169.0,Yea
passage,105,hr,2107.0,Yea
passage,105,sres,120.0,Yea
passage,105,hr,2016.0,Yea
passage,105,hjres,97.0,Yea
passage,105,s,858.0,Yea
passage,105,hjres,36.0,Yea
passage,105,hr,1871.0,Yea
passage,105,hr,1122.0,Nay
passage,105,s,1023.0,Yea
passage,105,s,923.0,Yea
passage,105,s,947.0,Yea
passage,105,sjres,1.0,Yea
passage,105,s,1150.0,Yea
passage,105,hr,3579.0,Yea
passage,105,hr,1273.0,Yea
passage,105,hr,2676.0,Yea
passage,105,hr,1385.0,Yea
passage,105,hr,2676.0,Yea
passage,105,hr,4328.0,Nay
passage,105,sconres,78.0,Yea
passage,105,s,2057.0,Yea
passage,105,s,2307.0,Yea
passage,105,s,2334.0,Yea
passage,105,s,2260.0,Yea
passage,105,hr,3616.0,Yea
passage,105,s,1092.0,Yea
passage,105,hr,4104.0,Yea
passage,105,hr,4057.0,Yea
passage,105,hr,6.0,Yea
passage,105,s,1244.0,Yea
passage,105,s,1260.0,Yea
passage,105,hr,4194.0,Yea
passage,105,sconres,90.0,Yea
passage,105,hr,2646.0,Yea
passage,105,hr,1757.0,Nay
passage,105,s,442.0,Yea
passage,105,hr,2646.0,Yea
passage,105,hr,2709.0,Yea
passage,105,s,1723.0,Yea
passage,105,sconres,85.0,Yea
passage,105,s,1575.0,Yea
passage,105,hr,2400.0,Yea
passage,105,hr,2431.0,Yea
passage,105,sres,187.0,Yea
passage,105,hr,4059.0,Yea
passage,105,hr,4101.0,Yea
passage,105,hr,4103.0,Yea
passage,105,hr,4101.0,Yea
passage,105,hr,6.0,Yea
passage,105,hr,4103.0,Yea
passage,105,hr,629.0,Yea
passage,105,hr,1151.0,Yea
veto-override,105,hr,1122.0,Nay
passage,105,hr,3150.0,Yea
passage,105,hr,4112.0,Yea
veto-override,105,hr,2631.0,Yea
passage,105,sjres,42.0,Yea
passage,105,s,2138.0,Yea
passage,105,sconres,107.0,Yea
passage,105,s,1618.0,Yea
passage,105,s,1668.0,Yea
passage,105,s,2037.0,Yea
passage,105,sconres,86.0,Yea
passage,105,s,2282.0,Yea
passage,106,hr,4576.0,Yea
passage,106,s,1134.0,Yea
passage,106,hr,833.0,Yea
passage,106,hr,1000.0,Yea
passage,106,s,2097.0,Yea
passage,106,hr,4733.0,Yea
passage,106,hjres,126.0,Yea
passage,106,hjres,119.0,Yea
passage,106,hr,4578.0,Yea
passage,106,hjres,109.0,Yea
passage,106,hr,4475.0,Yea
passage,106,hjres,120.0,Yea
passage,106,hr,3244.0,Yea
passage,106,hr,4444.0,Yea
passage,106,hr,4516.0,Nay
passage,106,hjres,116.0,Yea
passage,106,hr,4811.0,Yea
passage,106,hr,4942.0,Yea
passage,106,hr,4578.0,Yea
passage,106,hr,4205.0,Yea
passage,106,hr,4635.0,Yea
passage,106,hr,4810.0,Yea
passage,106,hr,2559.0,Yea
veto-override,106,s,1287.0,Yea
passage,106,s,2323.0,Yea
passage,106,hr,4475.0,Yea
passage,106,hr,4762.0,Yea
passage,106,hr,5.0,Yea
passage,106,s,761.0,Yea
passage,106,s,1287.0,Yea
passage,106,hr,4205.0,Yea
passage,106,hr,2559.0,Yea
passage,106,hr,434.0,Nay
passage,106,hr,4577.0,Yea
passage,106,hr,4516.0,Nay
passage,106,hjres,127.0,Yea
passage,106,hjres,118.0,Yea
passage,106,s,2045.0,Yea
passage,106,hr,2415.0,Yea
passage,106,hjres,110.0,Yea
passage,106,hjres,117.0,Yea
passage,106,s,2796.0,Yea
passage,106,hr,4576.0,Yea
passage,106,hr,4733.0,Yea
passage,106,hr,4810.0,Yea
passage,106,hjres,115.0,Yea
passage,106,hr,4461.0,Yea
passage,106,hr,4461.0,Yea
passage,106,hr,4635.0,Yea
passage,106,hr,782.0,Yea
passage,106,hjres,111.0,Yea
passage,106,s,2508.0,Yea
passage,106,hconres,290.0,Yea
passage,106,hr,1883.0,Yea
passage,106,hr,4425.0,Yea
passage,106,sjres,14.0,Yea
passage,106,hr,8.0,Yea
passage,106,hconres,303.0,Yea
passage,106,hconres,290.0,Yea
passage,106,hr,1906.0,Nay
passage,106,hr,2606.0,Yea
passage,106,hr,1905.0,Yea
passage,106,sres,57.0,Yea
passage,106,s,886.0,Yea
passage,106,s,257.0,Yea
passage,106,sconres,21.0,Nay
passage,106,s,1692.0,Nay
passage,106,s,1186.0,Yea
passage,106,hconres,92.0,Yea
passage,106,hr,2488.0,Nay
passage,106,hr,2605.0,Yea
passage,106,sres,186.0,Yea
passage,106,sres,187.0,Nay
passage,106,sjres,33.0,Yea
passage,106,s,1344.0,Yea
passage,106,s,531.0,Yea
passage,106,s,1205.0,Yea
passage,106,hconres,68.0,Yea
passage,106,hr,434.0,Nay
passage,106,s,900.0,Yea
passage,106,hconres,68.0,Yea
passage,106,s,1234.0,Yea
passage,106,s,4.0,Yea
passage,106,s,314.0,Yea
passage,106,s,1122.0,Yea
passage,106,hr,1376.0,Yea
passage,106,s,331.0,Yea
passage,106,hr,800.0,Yea
passage,106,s,900.0,Yea
passage,106,sres,7.0,Yea
passage,106,hr,2084.0,Yea
passage,106,sres,45.0,Yea
passage,106,sres,33.0,Yea
passage,106,,,Yea
passage,106,s,643.0,Yea
passage,106,hr,3194.0,Yea
passage,106,sres,94.0,Yea
passage,106,,,Yea
passage,106,hr,1180.0,Yea
passage,106,s,254.0,Yea
passage,106,hr,3064.0,Yea
passage,106,hr,1664.0,Nay
passage,106,hr,2684.0,Yea
passage,106,sconres,5.0,Yea
passage,106,s,1650.0,Yea
passage,106,hr,2561.0,Yea
passage,106,hr,2466.0,Yea
passage,106,hjres,68.0,Yea
passage,106,s,335.0,Yea
passage,106,hr,2490.0,Nay
passage,106,s,1059.0,Yea
passage,106,hr,2587.0,Yea
passage,106,sres,160.0,Yea
passage,106,hr,2084.0,Yea
passage,106,s,1429.0,Yea
passage,106,hr,1141.0,Yea
passage,106,s,1059.0,Yea
passage,106,hr,775.0,Yea
passage,106,hr,775.0,Yea
passage,106,hr,800.0,Yea
passage,107,hr,3061.0,Yea
passage,107,hr,2506.0,Yea
passage,107,hr,2330.0,Yea
passage,107,hr,2299.0,Yea
passage,107,hconres,295.0,Nay
passage,107,hr,3162.0,Yea
passage,107,hr,1.0,Yea
passage,107,hr,3061.0,Yea
passage,107,hr,2500.0,Yea
passage,107,s,1447.0,Yea
passage,107,hr,2620.0,Yea
passage,107,s,1218.0,Yea
passage,107,s,1426.0,Yea
passage,107,s,1052.0,Yea
passage,107,hr,2904.0,Yea
passage,107,s,149.0,Yea
passage,107,sjres,23.0,Yea
passage,107,hr,2216.0,Yea
passage,107,hconres,83.0,Yea
passage,107,hr,1.0,Yea
passage,107,hr,2944.0,Yea
passage,107,s,248.0,Yea
passage,107,sjres,28.0,Nay
passage,107,s,350.0,Yea
passage,107,s,235.0,Yea
passage,107,hr,2330.0,Yea
passage,107,hr,1836.0,Yea
passage,107,s,27.0,Yea
passage,107,hr,3338.0,Yea
passage,107,hr,2311.0,Yea
passage,107,hconres,83.0,Yea
passage,107,s,420.0,Yea
passage,107,hr,2590.0,Nay
passage,107,hjres,51.0,Yea
passage,107,sjres,25.0,Yea
passage,107,hr,333.0,Yea
passage,107,s,1438.0,Yea
passage,107,sjres,22.0,Yea
passage,107,s,1450.0,Yea
passage,107,hr,2500.0,Yea
passage,107,s,1172.0,Yea
passage,107,hr,2311.0,Yea
passage,107,hr,2217.0,Yea
passage,107,hr,2883.0,Yea
passage,107,sjres,4.0,Nay
passage,107,hr,1836.0,Yea
passage,107,sjres,6.0,Yea
passage,107,s,320.0,Yea
passage,107,hr,2620.0,Yea
passage,107,s,1510.0,Yea
passage,107,hr,2904.0,Yea
passage,107,hr,10.0,Yea
passage,107,s,1438.0,Yea
passage,107,hr,2944.0,Yea
passage,107,hr,3167.0,Yea
passage,107,hr,4.0,Yea
passage,107,hr,4775.0,Yea
passage,107,hr,4775.0,Yea
passage,107,hr,5011.0,Yea
passage,107,hr,5010.0,Yea
passage,107,s,1214.0,Yea
passage,107,hr,3090.0,Yea
passage,107,s,2600.0,Yea
passage,107,s,2690.0,Yea
passage,107,hr,3763.0,Yea
passage,107,hr,2646.0,Nay
passage,107,s,2578.0,Yea
passage,107,sres,272.0,Yea
passage,107,hr,3448.0,Yea
passage,107,hr,2646.0,Yea
passage,107,hr,2356.0,Yea
passage,107,s,565.0,Yea
passage,107,s,2673.0,Yea
passage,107,hjres,124.0,Yea
passage,107,hr,3295.0,Yea
passage,107,hr,3009.0,Yea
passage,107,hr,3210.0,Yea
passage,107,s,812.0,Yea
passage,107,hr,5010.0,Yea
passage,107,hjres,114.0,Yea
passage,107,hr,5005.0,Yea
passage,107,hr,3275.0,Yea
passage,107,s,2514.0,Yea
passage,107,hr,5121.0,Yea
passage,107,hr,3009.0,Yea
passage,107,sres,292.0,Yea
passage,108,sconres,31.0,Yea
passage,108,hjres,2.0,Yea
passage,108,s,3.0,Nay
passage,108,s,1053.0,Yea
passage,108,sjres,17.0,Yea
passage,108,s,151.0,Yea
passage,108,s,476.0,Yea
passage,108,hr,1307.0,Yea
passage,108,sres,95.0,Yea
passage,108,hr,2660.0,Yea
passage,108,hr,2622.0,Yea
passage,108,hjres,51.0,Yea
passage,108,s,1689.0,Yea
passage,108,hr,2657.0,Yea
passage,108,hr,2330.0,Yea
passage,108,hr,2559.0,Yea
passage,108,hr,1588.0,Yea
passage,108,s,1215.0,Yea
passage,108,hr,2559.0,Yea
passage,108,hr,3161.0,Yea
passage,108,s,151.0,Yea
passage,108,hjres,2.0,Yea
passage,108,s,1050.0,Yea
passage,108,hr,2658.0,Yea
passage,108,hr,2555.0,Yea
passage,108,s,113.0,Yea
passage,108,hr,2.0,Yea
passage,108,hr,2739.0,Yea
passage,108,sres,71.0,Yea
passage,108,sres,45.0,Yea
passage,108,s,121.0,Yea
passage,108,hr,6.0,Yea
passage,108,s,762.0,Yea
passage,108,hr,2738.0,Yea
passage,108,s,3.0,Nay
passage,108,hr,2691.0,Yea
passage,108,s,1.0,Yea
passage,108,s,504.0,Yea
passage,108,hr,2658.0,Yea
passage,108,s,877.0,Yea
passage,108,hr,1.0,Yea
passage,108,hr,2673.0,Yea
passage,108,hr,2989.0,Yea
passage,108,hr,1904.0,Yea
passage,108,hr,2115.0,Yea
passage,108,hr,1828.0,Yea
passage,108,s,196.0,Yea
passage,108,sconres,30.0,Yea
passage,108,hr,2754.0,Yea
passage,108,sconres,23.0,Yea
passage,108,sres,373.0,Yea
